identifier,INF2cnt,INF4cnt,INF3cnt
ENSMUSG00000061559,1173,1084,1187
ENSMUSG00000061578,1,1,0
ENSMUSG00000061589,1222,1144,922
ENSMUSG00000061603,7,8,5
ENSMUSG00000061607,179,156,213
ENSMUSG00000061613,433,525,388
ENSMUSG00000061615,5,3,2
ENSMUSG00000061619,2,2,3
ENSMUSG00000061650,671,720,662
ENSMUSG00000061665,798,500,631
ENSMUSG00000061666,1943,1485,2127
ENSMUSG00000061669,0,0,2
ENSMUSG00000061684,139,43,107
ENSMUSG00000061689,1254,1414,1290
ENSMUSG00000061702,11,12,12
ENSMUSG00000061718,2,3,3
ENSMUSG00000061723,8,1,0
ENSMUSG00000061724,25,21,33
ENSMUSG00000061728,0,0,2
ENSMUSG00000061731,576,515,618
ENSMUSG00000061740,1,0,1
ENSMUSG00000061751,1,0,3
ENSMUSG00000061755,1092,1189,1039
ENSMUSG00000061758,523,515,539
ENSMUSG00000061759,189,178,236
ENSMUSG00000061778,1287,689,1259
ENSMUSG00000061787,1442,1539,1123
ENSMUSG00000061802,0,0,1
ENSMUSG00000061833,26,33,19
ENSMUSG00000061838,427,432,528
ENSMUSG00000061848,274,314,199
ENSMUSG00000061859,2,9,0
ENSMUSG00000061863,1,1,0
ENSMUSG00000061878,31,23,21
ENSMUSG00000061882,15,3,29
ENSMUSG00000061887,149,184,131
ENSMUSG00000061894,37,28,35
ENSMUSG00000061897,36,22,53
ENSMUSG00000061898,154,89,175
ENSMUSG00000061904,8523,7667,7516
ENSMUSG00000061950,1622,1219,1668
ENSMUSG00000061972,12,9,13
ENSMUSG00000061979,313,386,348
ENSMUSG00000061981,1462,1509,1607
ENSMUSG00000061983,74,79,62
ENSMUSG00000062006,2487,3096,2253
ENSMUSG00000062007,3,2,1
ENSMUSG00000062012,1,0,1
ENSMUSG00000062014,3250,2179,3610
ENSMUSG00000062028,2,0,0
ENSMUSG00000062031,79,94,82
ENSMUSG00000062038,5,3,7
ENSMUSG00000062040,97,81,107
ENSMUSG00000062044,1,0,0
ENSMUSG00000062054,1241,1316,1203
ENSMUSG00000062070,522,463,417
ENSMUSG00000062073,0,2,5
ENSMUSG00000062074,0,0,1
ENSMUSG00000062075,103,82,49
ENSMUSG00000062078,7199,5336,8178
ENSMUSG00000062081,295,287,304
ENSMUSG00000062082,570,260,529
ENSMUSG00000062083,2,4,8
ENSMUSG00000062093,15,16,16
ENSMUSG00000062098,106,50,132
ENSMUSG00000062101,261,109,329
ENSMUSG00000062110,195,154,223
ENSMUSG00000062115,241,217,222
ENSMUSG00000062116,301,318,316
ENSMUSG00000062127,2525,2398,2963
ENSMUSG00000062152,1,0,3
ENSMUSG00000062157,0,4,0
ENSMUSG00000062168,0,0,1
ENSMUSG00000062169,2384,2072,2140
ENSMUSG00000062175,20,70,55
ENSMUSG00000062190,327,249,365
ENSMUSG00000062198,78,60,78
ENSMUSG00000062202,1096,1022,1155
ENSMUSG00000062203,1875,1572,1829
ENSMUSG00000062210,5315,3702,4794
ENSMUSG00000062232,438,349,518
ENSMUSG00000062234,2816,2286,2927
ENSMUSG00000062248,125,120,128
ENSMUSG00000062270,2047,1533,1851
ENSMUSG00000062279,1,1,2
ENSMUSG00000062284,17,18,12
ENSMUSG00000062300,266,298,323
ENSMUSG00000062309,1,2,0
ENSMUSG00000062310,16,8,5
ENSMUSG00000062312,8,11,9
ENSMUSG00000062328,86,68,67
ENSMUSG00000062345,6,0,3
ENSMUSG00000062352,1280,1116,1045
ENSMUSG00000062353,214,248,171
ENSMUSG00000062365,8,2,1
ENSMUSG00000062373,1745,1298,1905
ENSMUSG00000062376,800,762,746
ENSMUSG00000062380,2,3,3
ENSMUSG00000062382,7077,5788,7224
ENSMUSG00000062397,2908,2591,3182
ENSMUSG00000062421,3073,2486,3096
ENSMUSG00000062432,1,5,2
ENSMUSG00000062456,289,303,261
ENSMUSG00000062458,5,5,5
ENSMUSG00000062461,10,4,8
ENSMUSG00000062464,0,1,0
ENSMUSG00000062470,35,42,46
ENSMUSG00000062472,1,0,0
ENSMUSG00000062477,0,1,1
ENSMUSG00000062480,732,658,580
ENSMUSG00000062488,38,19,64
ENSMUSG00000062510,45,17,42
ENSMUSG00000062511,0,5,0
ENSMUSG00000062515,3426,3156,2701
ENSMUSG00000062518,2,0,3
ENSMUSG00000062519,175,144,204
ENSMUSG00000062526,247,197,212
ENSMUSG00000062545,6,12,11
ENSMUSG00000062554,58,42,66
ENSMUSG00000062563,0,0,3
ENSMUSG00000062580,1310,1330,1231
ENSMUSG00000062582,40,47,47
ENSMUSG00000062585,319,323,282
ENSMUSG00000062588,25,9,12
ENSMUSG00000062590,141,121,148
ENSMUSG00000062591,2,7,1
ENSMUSG00000062593,21525,14634,21611
ENSMUSG00000062604,866,785,753
ENSMUSG00000062611,372,343,361
ENSMUSG00000062619,427,462,344
ENSMUSG00000062627,755,606,878
ENSMUSG00000062646,105,89,104
ENSMUSG00000062647,511,614,409
ENSMUSG00000062661,50,71,52
ENSMUSG00000062683,46,33,42
ENSMUSG00000062691,428,444,457
ENSMUSG00000062704,4,1,0
ENSMUSG00000062729,366,460,412
ENSMUSG00000062742,2,3,1
ENSMUSG00000062743,64,84,129
ENSMUSG00000062753,1868,2126,1634
ENSMUSG00000062758,45,49,31
ENSMUSG00000062761,398,228,416
ENSMUSG00000062762,1585,1344,1862
ENSMUSG00000062773,3,0,0
ENSMUSG00000062778,0,2,0
ENSMUSG00000062785,14,5,3
ENSMUSG00000062794,4,10,9
ENSMUSG00000062797,97,89,145
ENSMUSG00000062822,607,527,783
ENSMUSG00000062825,2976,3103,2739
ENSMUSG00000062846,59,39,58
ENSMUSG00000062859,1,1,1
ENSMUSG00000062861,335,270,345
ENSMUSG00000062866,905,932,856
ENSMUSG00000062867,210,156,189
ENSMUSG00000062874,3,1,1
ENSMUSG00000062896,5,4,3
ENSMUSG00000062901,1099,900,1484
ENSMUSG00000062906,96,112,141
ENSMUSG00000062908,941,950,1052
ENSMUSG00000062929,493,376,492
ENSMUSG00000062931,162,107,174
ENSMUSG00000062933,3510,3867,3314
ENSMUSG00000062937,410,305,402
ENSMUSG00000062939,10,6,3
ENSMUSG00000062944,237,198,203
ENSMUSG00000062949,407,309,413
ENSMUSG00000062960,2,3,5
ENSMUSG00000062961,0,0,1
ENSMUSG00000062963,1549,1417,1342
ENSMUSG00000062980,88,44,61
ENSMUSG00000062981,669,802,682
ENSMUSG00000062995,119,129,138
ENSMUSG00000062997,1900,2340,1666
ENSMUSG00000063001,5,5,5
ENSMUSG00000063011,0,0,1
ENSMUSG00000063015,2101,1865,2391
ENSMUSG00000063018,3,11,11
ENSMUSG00000063019,1392,1482,1173
ENSMUSG00000063021,1,0,1
ENSMUSG00000063047,171,127,120
ENSMUSG00000063049,300,328,291
ENSMUSG00000063052,260,275,318
ENSMUSG00000063060,0,2,0
ENSMUSG00000063065,2465,2716,2493
ENSMUSG00000063077,936,851,836
ENSMUSG00000063087,0,0,1
ENSMUSG00000063108,525,380,579
ENSMUSG00000063109,0,4,0
ENSMUSG00000063129,1,0,0
ENSMUSG00000063133,13,7,10
ENSMUSG00000063145,66,65,80
ENSMUSG00000063146,152,173,170
ENSMUSG00000063160,134,153,147
ENSMUSG00000063166,0,0,2
ENSMUSG00000063171,189,170,168
ENSMUSG00000063172,132,117,144
ENSMUSG00000063177,0,2,0
ENSMUSG00000063179,257,234,214
ENSMUSG00000063193,5022,3829,5372
ENSMUSG00000063200,1144,978,1006
ENSMUSG00000063229,10908,10754,9724
ENSMUSG00000063232,3,0,0
ENSMUSG00000063234,5154,5229,5075
ENSMUSG00000063235,2154,1725,1916
ENSMUSG00000063236,415,470,399
ENSMUSG00000063245,35,19,30
ENSMUSG00000063253,701,497,721
ENSMUSG00000063268,252,323,307
ENSMUSG00000063273,1632,1173,1564
ENSMUSG00000063275,98,144,95
ENSMUSG00000063281,569,370,417
ENSMUSG00000063286,895,607,917
ENSMUSG00000063296,13,6,3
ENSMUSG00000063314,657,676,716
ENSMUSG00000063316,127,152,143
ENSMUSG00000063317,244,233,338
ENSMUSG00000063320,76,108,65
ENSMUSG00000063328,18,16,11
ENSMUSG00000063334,8766,7204,8304
ENSMUSG00000063354,339,262,257
ENSMUSG00000063358,4245,3683,4548
ENSMUSG00000063362,382,314,418
ENSMUSG00000063364,8,9,9
ENSMUSG00000063382,59,84,71
ENSMUSG00000063383,27,28,23
ENSMUSG00000063406,1505,1169,1567
ENSMUSG00000063410,668,703,618
ENSMUSG00000063412,356,279,338
ENSMUSG00000063430,2,11,3
ENSMUSG00000063439,577,616,496
ENSMUSG00000063442,0,2,2
ENSMUSG00000063445,133,191,166
ENSMUSG00000063447,1,11,1
ENSMUSG00000063450,51,58,34
ENSMUSG00000063455,11,12,11
ENSMUSG00000063457,2637,3294,2109
ENSMUSG00000063458,423,373,325
ENSMUSG00000063480,921,948,877
ENSMUSG00000063488,0,5,3
ENSMUSG00000063506,457,444,457
ENSMUSG00000063511,1327,1309,1289
ENSMUSG00000063524,4810,5117,4749
ENSMUSG00000063535,11,13,16
ENSMUSG00000063543,14,13,3
ENSMUSG00000063548,0,0,1
ENSMUSG00000063550,984,695,928
ENSMUSG00000063556,22,31,35
ENSMUSG00000063558,3,4,3
ENSMUSG00000063564,25,18,16
ENSMUSG00000063568,40,13,28
ENSMUSG00000063576,1338,1262,1317
ENSMUSG00000063586,8,20,9
ENSMUSG00000063600,0,0,2
ENSMUSG00000063605,7,5,8
ENSMUSG00000063611,12,4,11
ENSMUSG00000063623,56,48,52
ENSMUSG00000063628,103,131,103
ENSMUSG00000063652,103,81,78
ENSMUSG00000063656,61,61,101
ENSMUSG00000063659,437,396,362
ENSMUSG00000063663,209,114,172
ENSMUSG00000063684,433,367,534
ENSMUSG00000063687,1,0,1
ENSMUSG00000063689,2,1,1
ENSMUSG00000063694,134,95,112
ENSMUSG00000063696,232,278,238
ENSMUSG00000063698,37,19,49
ENSMUSG00000063714,111,162,98
ENSMUSG00000063739,1,3,1
ENSMUSG00000063751,2,0,8
ENSMUSG00000063754,22,21,33
ENSMUSG00000063760,769,509,710
ENSMUSG00000063765,128,164,136
ENSMUSG00000063785,496,432,387
ENSMUSG00000063787,612,561,582
ENSMUSG00000063800,732,675,664
ENSMUSG00000063801,546,641,585
ENSMUSG00000063802,1104,1343,1070
ENSMUSG00000063808,187,205,244
ENSMUSG00000063810,28,34,54
ENSMUSG00000063816,1,0,3
ENSMUSG00000063820,3,1,0
ENSMUSG00000063821,0,0,2
ENSMUSG00000063830,2,3,3
ENSMUSG00000063849,382,456,406
ENSMUSG00000063851,4,14,7
ENSMUSG00000063856,9833,11783,9286
ENSMUSG00000063870,2147,2284,1903
ENSMUSG00000063873,99,93,59
ENSMUSG00000063875,20,6,19
ENSMUSG00000063882,2229,2445,1966
ENSMUSG00000063884,299,171,302
ENSMUSG00000063885,5,2,6
ENSMUSG00000063888,2185,2138,2122
ENSMUSG00000063889,154,163,219
ENSMUSG00000063894,165,114,163
ENSMUSG00000063895,422,345,541
ENSMUSG00000063897,524,634,503
ENSMUSG00000063902,1326,927,1719
ENSMUSG00000063904,1630,1609,1708
ENSMUSG00000063911,0,0,2
ENSMUSG00000063931,2646,2422,2553
ENSMUSG00000063952,177,205,231
ENSMUSG00000063953,8,10,12
ENSMUSG00000063954,39,27,39
ENSMUSG00000063972,32,45,41
ENSMUSG00000064023,3,0,0
ENSMUSG00000064030,170,189,171
ENSMUSG00000064032,575,753,688
ENSMUSG00000064037,615,509,610
ENSMUSG00000064039,4,3,14
ENSMUSG00000064043,359,409,432
ENSMUSG00000064061,58,48,59
ENSMUSG00000064063,0,0,1
ENSMUSG00000064065,3,11,0
ENSMUSG00000064068,944,1108,907
ENSMUSG00000064081,0,1,0
ENSMUSG00000064090,597,430,601
ENSMUSG00000064105,19,41,55
ENSMUSG00000064109,1153,1439,981
ENSMUSG00000064120,1553,1272,1503
ENSMUSG00000064125,0,0,4
ENSMUSG00000064127,491,351,516
ENSMUSG00000064128,66,18,58
ENSMUSG00000064138,1267,1010,1210
ENSMUSG00000064141,20,22,32
ENSMUSG00000064145,1723,1328,1776
ENSMUSG00000064147,1,0,8
ENSMUSG00000064158,2,0,0
ENSMUSG00000064168,1,0,0
ENSMUSG00000064177,1,12,6
ENSMUSG00000064179,6,4,1
ENSMUSG00000064181,92,95,87
ENSMUSG00000064193,104,62,115
ENSMUSG00000064202,14,25,24
ENSMUSG00000064208,82,97,108
ENSMUSG00000064210,2262,2052,2601
ENSMUSG00000064215,1928,2150,1684
ENSMUSG00000064220,6,0,0
ENSMUSG00000064225,0,4,0
ENSMUSG00000064231,6,1,2
ENSMUSG00000064246,7,15,2
ENSMUSG00000064247,185,233,171
ENSMUSG00000064254,315,337,318
ENSMUSG00000064264,13,7,2
ENSMUSG00000064267,5559,4728,5786
ENSMUSG00000064272,7,7,5
ENSMUSG00000064280,28,11,17
ENSMUSG00000064281,58,76,49
ENSMUSG00000064284,184,194,184
ENSMUSG00000064289,1824,1168,2557
ENSMUSG00000064299,1,0,0
ENSMUSG00000064302,409,334,469
ENSMUSG00000064307,118,91,101
ENSMUSG00000064317,73,94,62
ENSMUSG00000064326,639,715,464
ENSMUSG00000064330,4375,4395,4086
ENSMUSG00000064336,1,0,0
ENSMUSG00000064337,17100,23670,12578
ENSMUSG00000064338,0,0,1
ENSMUSG00000064339,245232,224814,187416
ENSMUSG00000064340,0,0,1
ENSMUSG00000064341,41455,32767,40061
ENSMUSG00000064342,24,9,24
ENSMUSG00000064343,242,52,222
ENSMUSG00000064344,21,13,34
ENSMUSG00000064345,14296,12488,13798
ENSMUSG00000064346,82,30,59
ENSMUSG00000064347,29,10,33
ENSMUSG00000064348,2,2,2
ENSMUSG00000064349,12,6,18
ENSMUSG00000064350,79,50,147
ENSMUSG00000064351,72299,38668,84209
ENSMUSG00000064352,730,374,694
ENSMUSG00000064354,1603,1085,1799
ENSMUSG00000064356,72,52,89
ENSMUSG00000064357,1445,1057,1707
ENSMUSG00000064358,1498,844,1643
ENSMUSG00000064360,143,132,177
ENSMUSG00000064363,21768,19512,20782
ENSMUSG00000064367,17085,14411,18929
ENSMUSG00000064368,9210,9059,8991
ENSMUSG00000064369,106,58,103
ENSMUSG00000064370,42777,33202,47536
ENSMUSG00000064371,21,19,13
ENSMUSG00000064372,114,100,116
ENSMUSG00000064373,122868,93175,124385
ENSMUSG00000064380,0,1,1
ENSMUSG00000064387,2,0,2
ENSMUSG00000064389,3,0,0
ENSMUSG00000064390,2,0,0
ENSMUSG00000064398,1,0,0
ENSMUSG00000064399,1,0,1
ENSMUSG00000064409,1,0,2
ENSMUSG00000064410,2,4,4
ENSMUSG00000064419,7,0,2
ENSMUSG00000064427,1,2,0
ENSMUSG00000064435,3,3,1
ENSMUSG00000064437,0,0,3
ENSMUSG00000064442,3,1,0
ENSMUSG00000064451,3,0,0
ENSMUSG00000064460,0,1,0
ENSMUSG00000064492,12,7,4
ENSMUSG00000064493,58,33,66
ENSMUSG00000064514,0,1,3
ENSMUSG00000064525,0,0,3
ENSMUSG00000064530,0,0,1
ENSMUSG00000064540,0,0,4
ENSMUSG00000064558,1,0,1
ENSMUSG00000064565,2,3,1
ENSMUSG00000064567,0,0,1
ENSMUSG00000064587,0,2,0
ENSMUSG00000064590,1,1,1
ENSMUSG00000064595,0,0,1
ENSMUSG00000064597,4,1,3
ENSMUSG00000064600,2,1,1
ENSMUSG00000064602,5,2,1
ENSMUSG00000064609,1,0,0
ENSMUSG00000064612,2,0,0
ENSMUSG00000064622,5,3,5
ENSMUSG00000064632,1,1,0
ENSMUSG00000064634,1,1,3
ENSMUSG00000064637,6,0,2
ENSMUSG00000064644,0,0,1
ENSMUSG00000064647,7,0,0
ENSMUSG00000064652,3,1,0
ENSMUSG00000064653,2,2,1
ENSMUSG00000064665,1,0,2
ENSMUSG00000064693,0,0,1
ENSMUSG00000064694,0,2,1
ENSMUSG00000064702,2,0,1
ENSMUSG00000064719,3,2,1
ENSMUSG00000064738,5,0,1
ENSMUSG00000064765,5,8,6
ENSMUSG00000064770,1,0,0
ENSMUSG00000064778,1,0,1
ENSMUSG00000064797,10,2,14
ENSMUSG00000064811,10,2,10
ENSMUSG00000064833,0,1,1
ENSMUSG00000064844,2,1,1
ENSMUSG00000064853,1,0,0
ENSMUSG00000064856,0,0,1
ENSMUSG00000064857,0,1,0
ENSMUSG00000064871,0,5,0
ENSMUSG00000064884,2,0,2
ENSMUSG00000064899,37,17,21
ENSMUSG00000064901,0,2,0
ENSMUSG00000064916,1,1,0
ENSMUSG00000064917,1,1,2
ENSMUSG00000064918,0,4,3
ENSMUSG00000064927,2,3,0
ENSMUSG00000064936,84,60,39
ENSMUSG00000064945,4,0,0
ENSMUSG00000064952,2,0,1
ENSMUSG00000064960,0,5,3
ENSMUSG00000064984,4,1,1
ENSMUSG00000064994,2,0,0
ENSMUSG00000065034,0,0,2
ENSMUSG00000065036,8,1,7
ENSMUSG00000065037,101,101,95
ENSMUSG00000065041,5,2,6
ENSMUSG00000065047,3,8,9
ENSMUSG00000065080,6,5,5
ENSMUSG00000065083,4,1,3
ENSMUSG00000065090,1,0,1
ENSMUSG00000065100,0,1,1
ENSMUSG00000065118,0,1,0
ENSMUSG00000065126,50,49,25
ENSMUSG00000065132,1,0,0
ENSMUSG00000065145,10,13,2
ENSMUSG00000065147,0,13,3
ENSMUSG00000065158,0,3,2
ENSMUSG00000065159,0,1,0
ENSMUSG00000065162,2,2,0
ENSMUSG00000065202,0,1,0
ENSMUSG00000065203,0,0,1
ENSMUSG00000065208,3,2,4
ENSMUSG00000065226,0,2,0
ENSMUSG00000065236,0,0,1
ENSMUSG00000065246,1,0,0
ENSMUSG00000065251,15,11,15
ENSMUSG00000065258,0,2,5
ENSMUSG00000065259,1,1,4
ENSMUSG00000065265,8,10,7
ENSMUSG00000065273,1,0,0
ENSMUSG00000065282,16,17,15
ENSMUSG00000065298,0,0,1
ENSMUSG00000065299,2,0,0
ENSMUSG00000065304,0,3,2
ENSMUSG00000065331,1,2,1
ENSMUSG00000065341,1,0,1
ENSMUSG00000065343,0,1,0
ENSMUSG00000065353,17,8,7
ENSMUSG00000065360,5,0,0
ENSMUSG00000065374,1,1,5
ENSMUSG00000065389,40,29,51
ENSMUSG00000065395,0,2,0
ENSMUSG00000065399,1,1,0
ENSMUSG00000065406,4,6,9
ENSMUSG00000065407,1,0,0
ENSMUSG00000065409,0,1,0
ENSMUSG00000065413,0,0,1
ENSMUSG00000065420,31,37,21
ENSMUSG00000065421,0,3,1
ENSMUSG00000065422,5,11,12
ENSMUSG00000065423,0,1,0
ENSMUSG00000065430,1,0,0
ENSMUSG00000065431,2,0,1
ENSMUSG00000065434,2,0,1
ENSMUSG00000065436,2,0,1
ENSMUSG00000065439,0,0,1
ENSMUSG00000065444,11,12,14
ENSMUSG00000065468,0,0,1
ENSMUSG00000065471,1,1,1
ENSMUSG00000065475,39,17,30
ENSMUSG00000065495,1,1,0
ENSMUSG00000065503,2,0,2
ENSMUSG00000065510,2,1,0
ENSMUSG00000065515,0,2,0
ENSMUSG00000065519,0,2,0
ENSMUSG00000065537,0,2,0
ENSMUSG00000065541,4,7,4
ENSMUSG00000065547,1,0,0
ENSMUSG00000065551,0,0,2
ENSMUSG00000065560,0,0,1
ENSMUSG00000065563,0,0,2
ENSMUSG00000065564,3,2,0
ENSMUSG00000065571,1,3,1
ENSMUSG00000065578,0,0,1
ENSMUSG00000065581,1,0,2
ENSMUSG00000065591,4,5,3
ENSMUSG00000065593,6,4,6
ENSMUSG00000065599,22,15,13
ENSMUSG00000065600,1,1,0
ENSMUSG00000065601,20,20,12
ENSMUSG00000065608,2,1,4
ENSMUSG00000065610,0,0,1
ENSMUSG00000065611,16,21,16
ENSMUSG00000065623,2,3,0
ENSMUSG00000065647,2,2,2
ENSMUSG00000065651,3,1,1
ENSMUSG00000065657,2,1,1
ENSMUSG00000065661,1,1,0
ENSMUSG00000065663,15,7,18
ENSMUSG00000065669,1,0,0
ENSMUSG00000065676,1,0,0
ENSMUSG00000065683,0,1,3
ENSMUSG00000065687,2,7,5
ENSMUSG00000065692,8,6,4
ENSMUSG00000065701,2,0,0
ENSMUSG00000065715,2,5,5
ENSMUSG00000065725,0,1,2
ENSMUSG00000065728,1,2,0
ENSMUSG00000065734,1,7,6
ENSMUSG00000065738,2,1,0
ENSMUSG00000065750,2,4,2
ENSMUSG00000065752,1,0,1
ENSMUSG00000065765,2,1,2
ENSMUSG00000065767,41,23,15
ENSMUSG00000065778,2,1,0
ENSMUSG00000065818,1,0,1
ENSMUSG00000065822,1,0,0
ENSMUSG00000065824,1,0,0
ENSMUSG00000065836,0,3,2
ENSMUSG00000065851,0,0,1
ENSMUSG00000065852,0,0,1
ENSMUSG00000065873,1,0,2
ENSMUSG00000065878,0,0,2
ENSMUSG00000065904,0,1,0
ENSMUSG00000065911,2,10,4
ENSMUSG00000065915,4,0,0
ENSMUSG00000065939,2,0,0
ENSMUSG00000065944,18,7,16
ENSMUSG00000065947,40,22,23
ENSMUSG00000065952,129,104,120
ENSMUSG00000065954,2142,1962,2547
ENSMUSG00000065979,745,687,924
ENSMUSG00000065990,1262,1512,1159
ENSMUSG00000065999,1,0,0
ENSMUSG00000066000,3,0,9
ENSMUSG00000066007,1,0,1
ENSMUSG00000066009,0,0,1
ENSMUSG00000066026,3684,4045,3780
ENSMUSG00000066036,1954,2129,1949
ENSMUSG00000066037,1369,932,1237
ENSMUSG00000066042,60,76,106
ENSMUSG00000066043,218,306,254
ENSMUSG00000066057,87,84,88
ENSMUSG00000066058,1,0,1
ENSMUSG00000066068,76,118,83
ENSMUSG00000066107,0,2,0
ENSMUSG00000066108,2,2,3
ENSMUSG00000066116,27,21,20
ENSMUSG00000066129,0,0,1
ENSMUSG00000066148,494,370,468
ENSMUSG00000066149,514,583,513
ENSMUSG00000066150,5064,3689,5638
ENSMUSG00000066151,2031,1958,2278
ENSMUSG00000066152,5026,4469,5123
ENSMUSG00000066170,7,0,0
ENSMUSG00000066175,78,100,90
ENSMUSG00000066178,1,6,4
ENSMUSG00000066180,5,1,1
ENSMUSG00000066189,1,0,0
ENSMUSG00000066191,124,151,162
ENSMUSG00000066232,581,516,641
ENSMUSG00000066233,353,371,251
ENSMUSG00000066235,0,11,12
ENSMUSG00000066240,0,1,0
ENSMUSG00000066245,142,133,141
ENSMUSG00000066258,175,214,174
ENSMUSG00000066270,570,443,500
ENSMUSG00000066278,772,820,843
ENSMUSG00000066306,1075,1508,1343
ENSMUSG00000066315,270,263,200
ENSMUSG00000066324,1368,1076,1395
ENSMUSG00000066357,305,369,415
ENSMUSG00000066361,4,0,0
ENSMUSG00000066362,47,37,43
ENSMUSG00000066363,5,6,5
ENSMUSG00000066406,4855,4793,4475
ENSMUSG00000066407,40,51,31
ENSMUSG00000066415,639,505,679
ENSMUSG00000066440,361,259,323
ENSMUSG00000066441,740,582,720
ENSMUSG00000066442,205,275,266
ENSMUSG00000066443,1,2,0
ENSMUSG00000066456,161,149,162
ENSMUSG00000066475,1,1,2
ENSMUSG00000066487,29,45,45
ENSMUSG00000066489,1,1,5
ENSMUSG00000066491,120,127,138
ENSMUSG00000066510,6,2,3
ENSMUSG00000066538,2,0,4
ENSMUSG00000066543,3,2,4
ENSMUSG00000066551,1708,1490,1668
ENSMUSG00000066553,57,58,60
ENSMUSG00000066554,25,14,27
ENSMUSG00000066568,1799,1545,2194
ENSMUSG00000066571,760,803,926
ENSMUSG00000066592,11,12,8
ENSMUSG00000066595,1659,1079,1804
ENSMUSG00000066613,148,76,149
ENSMUSG00000066621,4867,4667,4364
ENSMUSG00000066626,2,1,2
ENSMUSG00000066629,54,69,34
ENSMUSG00000066632,16,12,10
ENSMUSG00000066637,126,81,101
ENSMUSG00000066640,194,282,212
ENSMUSG00000066643,53,43,66
ENSMUSG00000066647,31,33,29
ENSMUSG00000066677,14,3,11
ENSMUSG00000066682,23,17,8
ENSMUSG00000066684,17,9,14
ENSMUSG00000066687,8,10,12
ENSMUSG00000066714,0,1,0
ENSMUSG00000066724,9,28,20
ENSMUSG00000066735,238,280,337
ENSMUSG00000066755,2,0,13
ENSMUSG00000066771,0,1,0
ENSMUSG00000066798,337,143,329
ENSMUSG00000066800,1234,1421,1239
ENSMUSG00000066807,7,3,4
ENSMUSG00000066809,12,14,14
ENSMUSG00000066829,329,291,439
ENSMUSG00000066838,56,73,93
ENSMUSG00000066839,222,279,234
ENSMUSG00000066861,44,53,69
ENSMUSG00000066877,901,656,1051
ENSMUSG00000066878,19,7,17
ENSMUSG00000066880,269,217,315
ENSMUSG00000066892,198,263,200
ENSMUSG00000066894,177,210,171
ENSMUSG00000066900,752,724,699
ENSMUSG00000066902,124,113,139
ENSMUSG00000066938,0,2,1
ENSMUSG00000066944,2,0,1
ENSMUSG00000066952,1676,1589,1944
ENSMUSG00000066975,1,12,16
ENSMUSG00000066979,2279,2255,2297
ENSMUSG00000066983,6,1,3
ENSMUSG00000067017,213,100,242
ENSMUSG00000067038,18,13,16
ENSMUSG00000067049,0,2,0
ENSMUSG00000067058,135,121,99
ENSMUSG00000067071,599,597,511
ENSMUSG00000067085,86,44,83
ENSMUSG00000067106,79,71,74
ENSMUSG00000067121,83,71,78
ENSMUSG00000067147,30,21,28
ENSMUSG00000067148,332,412,293
ENSMUSG00000067149,3,0,1
ENSMUSG00000067150,369,373,424
ENSMUSG00000067158,9,7,20
ENSMUSG00000067161,120,87,123
ENSMUSG00000067189,13,14,20
ENSMUSG00000067194,1596,1228,1576
ENSMUSG00000067199,42,31,29
ENSMUSG00000067203,846,699,844
ENSMUSG00000067206,3,3,3
ENSMUSG00000067212,2240,2665,2212
ENSMUSG00000067219,1,0,5
ENSMUSG00000067224,3,5,3
ENSMUSG00000067235,0,2,4
ENSMUSG00000067274,11003,12042,9686
ENSMUSG00000067288,1970,2370,1661
ENSMUSG00000067297,6,2,5
ENSMUSG00000067321,29,38,37
ENSMUSG00000067336,993,844,1088
ENSMUSG00000067344,302,327,283
ENSMUSG00000067356,2,7,6
ENSMUSG00000067365,2019,1764,1746
ENSMUSG00000067367,230,257,185
ENSMUSG00000067369,241,299,377
ENSMUSG00000067370,305,323,248
ENSMUSG00000067389,617,521,596
ENSMUSG00000067399,7,8,8
ENSMUSG00000067424,96,65,112
ENSMUSG00000067430,59,31,93
ENSMUSG00000067455,1,0,0
ENSMUSG00000067547,84,53,82
ENSMUSG00000067567,117,99,122
ENSMUSG00000067575,1,0,1
ENSMUSG00000067577,34,19,16
ENSMUSG00000067591,17,8,42
ENSMUSG00000067608,105,50,110
ENSMUSG00000067613,0,1,0
ENSMUSG00000067629,0,9,3
ENSMUSG00000067653,4,1,5
ENSMUSG00000067702,0,0,4
ENSMUSG00000067713,784,818,764
ENSMUSG00000067714,82,97,88
ENSMUSG00000067719,423,444,309
ENSMUSG00000067722,456,476,488
ENSMUSG00000067724,1,0,0
ENSMUSG00000067736,12,15,14
ENSMUSG00000067768,60,19,31
ENSMUSG00000067786,15,14,12
ENSMUSG00000067787,1264,1067,1312
ENSMUSG00000067795,0,1,0
ENSMUSG00000067813,1,0,0
ENSMUSG00000067825,17,14,33
ENSMUSG00000067847,1405,1590,1163
ENSMUSG00000067851,1790,1213,1730
ENSMUSG00000067869,229,219,226
ENSMUSG00000067870,335,322,252
ENSMUSG00000067872,4,1,0
ENSMUSG00000067873,1108,851,807
ENSMUSG00000067878,3,9,5
ENSMUSG00000067879,6,2,3
ENSMUSG00000067889,3,10,2
ENSMUSG00000067916,373,240,399
ENSMUSG00000067924,94,112,93
ENSMUSG00000067925,37,46,37
ENSMUSG00000067928,29,24,29
ENSMUSG00000067929,26,13,33
