Identifier,h_jkdz1,h_jkdz2,h_jkdz3,h_jkdz4,h_jkdz5,h_jkdz6,h_jkdz7,h_jkdz8,h_jkdz9,h_jkdz10,h_jkdz11,h_jkdz12,h_jkdz13,h_jkdz14,h_jkdz15,h_jkdz16,h_jkdz17,h_jkdz18,h_jkdz19,h_jkdz20,h_jkdz21,h_jkdz22,h_jkdz23,h_jkdz24,h_jkdz25,nc_jbdz11,nc_jbdz12,nc_jbdz13,nc_jbdz14,nc_jbdz15,nc_jbdz16,nc_jbdz17,nc_jbdz18,nc_jbdz19,nc_jbdz110,nc_jbdz111,nc_jbdz112,nc_jbdz113,nc_jbdz114,nc_jbdz115,nc_jbdz116,nc_jbdz117,nc_jbdz118,nc_jbdz119,nc_jbdz120,nc_jbdz121,nc_jbdz122,nc_jbdz123,nc_jbdz124,nc_jbdz125,ns_PT1,ns_PT2,ns_PT3,ns_PT4,ns_PT5,ns_PT6,ns_PT7,ns_PT8,ns_PT9,ns_PT10,ns_PT11,ns_PT12,ns_PT13,ns_PT14,ns_PT15,ns_PT16,ns_PT17,ns_PT18,ns_PT19,ns_PT20,ns_PT21,ns_PT22,ns_PT23,ns_PT24,ns_PT25,s_ZX1,s_ZX2,s_ZX3,s_ZX4,s_ZX5,s_ZX6,s_ZX7,s_ZX8,s_ZX9,s_ZX10,s_ZX11,s_ZX12,s_ZX13,s_ZX14,s_ZX15,s_ZX16,s_ZX17,s_ZX18,s_ZX19,s_ZX20,s_ZX21
group,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonCOVID19,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,nonsevere,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe,severe
C05464,27236376,6181607.5,5695701.5,,,40506068,,6622464.5,24199608,8470883,6193222,3990620,7159796.5,,7510453.5,9060614,13430847,16285938,1571926.125,42478484,,12075524,,26323776,2727638.5,,,,,107841.9609,,,4982520.5,,1372750.375,3878823.75,5805318.5,134864.7188,1890313.5,29323328,,1557274.375,606809.875,80771.4219,689556,8517047,676779.4375,569191.0625,,4006526.5,3735537.75,,,,1133985.375,,1652146.75,,76332016,21340026,697784.3125,5244560.5,,2592750.5,11959657,,,10711316,14145908,10579912,4164501.75,2002447.375,20898914,6291446,4122407.5,,,,,596942.75,,5227974,3380340.75,5211387.5,1813967.5,,3400431.25,12896900,,2251066.25,,21387200,,,6894332.5,463195.6563
C00581,97412.3828,97103.8281,193203.8594,207032.4688,298642.625,63723.5195,150245.5,194723.8906,765338.4375,205301.875,218579.0625,156637.0938,118560.4609,139923.5938,228674.9531,118611.8906,132000.7188,148890.3906,128935.5547,80321.7734,112882.0469,218502.7813,165474.25,225280.3281,123046.6953,140508.2031,194357.9844,57572.2031,348776.875,205095.0938,438871.9688,91147.3359,,117843.6016,78842.2813,66851.8906,90729.8203,209022.625,203235.25,126966.5391,173777.7813,,107261.75,213115.4531,125810.2422,101034.0078,52961.5898,215452.0156,114285,140665.8281,86499.2344,114285,,42813.9805,64724.3477,61016.7422,73562.6641,87486.2109,117043.2031,65929.3125,98417.9922,111520.9375,117049.0703,189026.0625,108344.9063,48220.8125,87411.0469,68885.4844,,143608.1406,35606.7852,51535.7578,143970.7344,92514.6094,,,,,53980.3047,,221810.4688,,66843.5,57679.6211,34653.9531,,48577.6719,32046.7988,91916.8906,57832.1172,,,,32051.9531,30921.793,40343.457
C00035,,,39381.875,41879.4063,,,,,,,24067.5605,25557.9668,29981.2813,133846.3281,,124910.3438,31616.0762,65946.1641,,46647.168,,41560.3594,46548.7188,,85011.3516,874738.8125,,,107573.1094,204364.6406,39459.0313,115780,,659177.4375,,38500.9141,70084.9844,53870.1406,34835.6953,264219.0625,482115.75,68520.8828,208687.8125,,582618.0625,168723.875,45417.6953,,55849.7383,381779.1563,243425.4531,35924.9023,156422.4531,303106.1563,86146.8438,,,,,435067.5938,,127780.625,249489.0781,72961.7031,30790.0449,1173402.25,,,,208899.25,74388.0078,,,278877.2813,58168.8438,,85160.0234,,,223190.0938,,320047.5625,,54169.5117,381508.8125,,312484.0625,779437.875,106649.6563,411631.0313,,423516.2813,146548.6563,396263.1875,332589.125,33827.7813
C01586,6977812.5,4141517.5,3714936,1800412.875,10580699,18676808,5429871.5,2909133.75,22291832,35124944,5616177,1758933,5696865,1358965,2657870.25,16624402,11637997,23689816,29702192,9628743,2286000.5,4525832,4318136.5,52273688,8351588.5,7643180.5,6864097,30061672,1714775,105288912,236694.6719,665169.4375,9824966,1638467.125,13402467,10220120,8528204,3064227.25,24309932,5362095.5,17084958,894896.5625,1980011.5,4535143,27029944,27244658,3180864,1829994.75,4506306,32918752,1233021.375,29734750,566364.6875,151388.9219,1031512.063,4919457.5,5531811,1081886.625,3119296.75,1309613.125,11529979,20670352,1543147.25,5293041,6530709,2753938.75,1971829.25,18014570,5638968.5,2102276.25,4216267,639432.4375,5313799,5942952.5,1607915.125,1922811,1936138.375,6690382.5,7044410,660837.6875,5157484,14596039,1336836,5918439.5,1663058.875,323614.875,745097.5625,3767934.25,169748.8125,2191430.75,367786.2813,1723457.125,1086537.25,10148279,20355094,868638
C00135,47449444,46100148,43155788,33988480,56087004,44522432,38101340,56215684,55865456,66206428,47013092,51648456,49686240,43454376,47772248,43032268,55273692,60559656,45634624,44552004,51724024,51377428,46734920,59415164,48737008,48189812,46910720,18267260,55608400,14625080,6563766,42033968,48873204,35912180,40053816,27599644,47321804,68149056,58322532,41476900,43922640,46380212,35059152,53804400,64965636,47083064,47235904,33622104,46159420,45610448,32651912,21005730,28998904,26796836,42331880,44363172,23692582,41389088,48506204,34328276,49350912,36971848,33813692,28948950,34985872,31517716,40437732,31996674,25858074,38202100,24174324,25225634,34870736,42001780,41421272,23444372,27971172,16148897,50985828,20364008,46218924,25512144,44991972,41946156,33522458,24614206,30493942,26820940,30007984,22712414,22853370,35887444,19564046,33869564,22230180,25075940
C01924,26382408,26304076,32966694,34773096,58989328,30955912,31029604,33732944,31632280,40402748,33668468,24082858,37697048,32778702,45387932,18178288,38901672,34015392,45504272,17932038,26323506,69835560,41053560,60394968,34439248,19505712,28341392,4549243.5,41985480,39784220,73588152,31106560,16831748,36063000,17466414,16341465,11588366,26384080,42686244,17069448,32211348,36976500,40543460,43655304,52416252,19774154,5995697.5,30143110,47129384,31076256,21479226,14207991,14052296,11967573,36554212,18444430,15545917,21361558,27005110,28273716,31763924,32817268,15548490,17163054,23207956,14372849,21148238,22805034,23131182,23940278,16858232,11269064,19287584,25186602,12384169,9645484,11213643,5372393,15291134,8792066,46247700,16669668,23700444,29097188,16957084,11980898,12102521,9054845,12865610,13681819,17939936,19708152,3159152.5,12192545,23843022,10220297
C02427,93152.7422,168562.6406,84245.625,,84568,43987.8984,77978.8516,87557.4844,138006.6406,157335.2969,95703.9766,,103627.3984,63477.0977,66295.9688,153282.0469,83394.6016,184769.3281,133303.2656,141783.2813,63953.4492,73535.3203,189618.6563,84923.7656,66953.375,97567.8281,51664.6406,1516969,237549.5938,120957.2344,101400.6172,,166843.6875,81588.2813,234669.5,288542.6875,,337306,91217.0547,42208.4648,27432.4785,62331.6016,75100.5,110181.7891,74139.7813,250071.875,1200885.75,68305.3906,84212.2344,111270.0234,53072.3789,62568.4766,52609.4531,62045.3125,60701.1563,,639555.75,40339.1563,86320.4219,48230.1172,101388.8281,69018.8672,54736.0977,118631.7656,910395.0625,144139.375,52917.8711,124381.3359,128647.6328,79724.9844,74561.25,65615.9609,144684.8906,137761.3125,72669.0156,50090.6992,,120047.0078,909833.5625,,83554.0313,28735.9199,56528.5586,75153.3828,87547.7266,,,37017.7188,33845.1484,53871.2578,,,33584.2461,403222.1563,31456.457,108829.7734
C05565,,,95706.2344,48057.293,61620.6836,,155646.5469,104810.3359,108262.3516,307940.375,,133824.5781,131139.6406,149800.1094,137291.9688,149148.3125,109100.9531,86201.375,147132.0469,200405.3438,136876.4688,118353.6953,57330.7969,179823.8281,,,225065.5781,94500032,126544.2813,1187712.25,197129.3438,635723.1875,141344.7656,363103.5938,291863.0938,1927632.125,183791.875,2193706,105893.0078,294884.25,146043.2813,262330.875,264504.7813,160766.2188,299887,140972.0156,7833410,,192266.0938,229021.1719,,171245.6563,64732.0742,,228679.2656,43184.8281,,489950.4375,221612.0938,806554.5,67861.125,59622.7461,69793.1797,,133344.6719,197301.125,67281.5156,361107,388235.8438,109536.6719,68296.4531,61943.9102,213719.0469,174311.6094,58401.6523,166796,425673.6875,91470.9922,2168262.5,129703.8594,189740.5313,141844.6563,61300.3984,892879.4375,222635.0938,1118920.75,430910.4063,129803.0313,378738.7813,172825.7969,638158.9375,55559.0898,88820.3047,406378.2188,180146.5938,60715.1289
C20631,569412.8125,439138.3438,483543.6563,467867.0938,474812.9375,515256.75,297246.5313,441482.5313,414080.5938,590078.875,501180.375,625175.9375,457394.6563,399038.3125,393475.3125,473624.1563,622459.3125,651077.1875,468429.3125,688539.75,621335.9375,410146.0938,448380.8125,434623.6875,348788.9063,715651,603887.875,2348923.75,776492.6875,567407.625,464992.4375,541576.4375,440474.4688,638825.5625,1134353,691616.0625,739404.3125,574029.4375,458936.4063,354909.3438,665435.5625,1063455.5,512113.6563,672904.8125,255102.8125,1636965.875,1211532.875,447333.2813,668344.75,632016.9375,234112.5156,370731.5938,412000,158386.9844,387955.6875,256195.5156,171817.0625,411685.875,475194.8438,309555.5938,355214.125,319982.0313,392738.2188,424562.375,544222.5,316466.2188,237516.8438,434542.6563,396857.6875,513132.0938,302325.7188,215122.2344,380695.8438,360847.9375,345760.625,238303.375,435641.4688,149047.0469,954974.3125,173253.8906,545036.4375,219311.4063,474527.25,461408.4063,401917.375,238347.7188,334957.7188,381401.1563,402973.3438,352715.0313,284114.5313,423658.9688,194869.0156,934218,291830.6875,450685.7813
C15516,441975.1875,149752.2813,125406.875,,124708.3828,445957.5625,,108523.3828,,,,192510.625,108015.7969,468624.5313,382020.2813,144980.5938,,210280.4844,,686342.8125,,,374898.4063,,355534.7813,,264711.4063,,1360972.375,,,605349.625,249673,863386.0625,168778.0938,295996.2813,698368.875,,200452.6875,419109,,104980.1094,460899.8125,112422.0234,81496.7813,177879.2031,516831,,178220.9844,112233.1641,,,,,,222520.7344,,408231.375,70460.5313,,119232.3203,152274.4219,661493.3125,,945174.5,425056.5,506376.5938,,,248224.5,503529.1563,,,259462.8906,119826.6016,206215.3438,248224.5,,156842.1094,,405346.0313,,191992.3438,,,,173784.1875,,,,367113.7813,196307.8281,,,,
C00519,1248054,1250450.125,1784334.375,480362.9063,1238619.75,325620.7813,434059.5,577932.75,285833.4375,718568.9375,747850.9375,520339.8125,177364.2344,620958.0625,1221087.125,207723.5625,588600,803054.1875,247654.2656,790709.8125,634754.5,1343587.25,907745.8125,821543.8125,202222.3906,1733743.375,184902.6719,,681409.625,427817.875,142528.5469,603906.875,721244.1875,1378966.375,366075.0313,213150.2031,1887642.125,791800.375,796131.6875,963178.8125,1072087.375,271899.875,1109796.75,554437.0625,1758707.875,472000.8438,694015.1875,453939,322615.9688,852710.9375,88324.1719,171579.125,495915.125,323614.3125,295339.0938,,298817.6563,1029700.813,446775,434059.5,210098.9063,170722.4531,581471.8125,32267.3789,197151.8125,321458.6563,,387114.5,79300.0938,414880.2813,223159.4688,259314.3438,190997.2969,372265.625,595223.25,252229.5625,176001.5938,55221.9648,,138072.3906,534511.0625,202741.0625,70801.125,257802.5469,787315.25,377014.2188,831961.5625,1524321.875,181059.5625,318303.5,398161,453089.5625,134343.0156,314906.5938,412369.4375,415029.4375
C00262,14473503,12501383,11666090,11151379,13489467,7703817.5,12746865,13338911,12616783,13294673,9934144,13717945,8397051,11148560,8155520.5,7992021,12772518,14294283,10500098,14211932,10178854,14071158,11082584,12800397,10888374,54757264,10043162,3533342,14932656,53978980,11643412,8373004,14312790,40142844,10960326,1252138.5,61800576,11099865,50435532,58934848,69471384,8328792.5,13574754,10900178,56936848,11357007,5228721,9404299,6266188,10977609,10626339,5614269,18600648,23356206,9707973,1836207.25,7479672.5,7049178,6179274,30997070,8770652,19856760,6240329,8050928,7509531,19970332,3479896.5,6277967,4425494,33177346,7769726,6946514.5,6321411,23362076,10025348,558090.9375,5637000,1089171.5,10908813,21299450,7906420.5,27679024,4054430.75,4884408.5,34249816,5102433,17670608,21598282,5693773,41036932,2998797,29394916,11897475,27270182,28829450,7809496.5
C05568,5902917,6025234,5713211,6548368.5,6210325.5,4279822,4271458.5,6631835,4900892,6576837,7825303.5,3508296.25,4870642.5,4418247,5764042,5383153,5637903,10002256,4490960.5,3594863.25,11806891,5140987.5,5566399,3853790,3954596.75,8130007.5,8026622,23198104,8084025,11389520,13815220,5948723,2363781,6653289.5,5470586,10764809,2879616,8732614,5701971,5092141,7558847.5,12725271,6441435.5,4852046,5338646.5,9129873,6268588,4340030,5273674.5,7848788,3064992,3025220,3528258.5,1985633.875,3746187,3167768.75,1893567.625,3887168.25,6403536.5,3993336.5,6279025.5,3973577.25,3141533.75,2619975.5,5845375.5,4455020,1963347,6355266,4081455.75,3931228,2395545.5,1507078.375,4594956.5,2992158,2042784.875,2393114.75,5771513.5,3841619,9973319,2188564,3852507.25,2660524.75,3702546,8476574,4223747.5,2948947.25,3677552.25,6719252,3937227.75,3948737.75,9835582,5445138,4200659.5,6931947,2869191.25,7148227.5
C19837,156138.8125,122293.1484,98496.6016,140935.8438,112923.8359,257958.375,148652.5469,179212.7813,193598.6719,176814.7031,148203.0156,164835.8906,170340.0938,119762.6406,124813.5781,122701.4766,164118.7813,126209.9297,151279.8438,152925.5156,159545.7813,123728.2734,110144.3594,191814.8438,127590.0859,131192.2188,149202.0156,345086.875,145282.6875,143131.6875,103276.1406,111565.2578,114739.1016,117449.4453,136073.1094,153921.0938,207085.2188,129920.8984,161018.1563,113336.9766,113199.7188,208015.1719,130149.6172,158786.75,155327.4219,157623.3125,149611.6406,113616.8047,141812.0156,101567.8594,121354.7578,179694.5,128685.6719,106859.75,131371.5469,88276.4922,132395.4531,138085.2188,160143.6563,125238.1172,128494.0391,89113.3359,121056.4922,80374.4766,137370.1563,133846.0938,121111.8203,134143.7344,146035.9844,111551.7266,124379.4141,101583.8125,228370.7656,133617.375,102022.9141,121974.0938,137521.1406,108064.0234,540075.0625,91890.3359,139397.9219,112741.375,159907.3125,141091.0625,180918.6563,83751.7031,116035.3516,167491.7031,92407.5625,154597.4844,85515.4219,100332.1875,79932.8594,196314.6719,108219.0781,94010.2969
C00954,1226498.25,985086.375,1275313.125,1628825.75,860571,1168237.625,1453653.5,1462907.125,2141959,2198037.75,1043630.5,1741826.25,1310973.125,1015533.688,1127916.625,1011676.313,1248339.5,2004589.625,950908,1279114.5,2304271,1221263.25,2206409.25,1354561.875,1249365,754187.625,1966666.25,1160542.375,1707867.5,5364429,515122.4375,415580.5625,2543537,1100445.125,3007182.5,3209174.5,2438422.5,593410.875,1973840.625,1502774.625,1218598.5,3975186.25,495357.625,1184817.125,1195874.75,2500870.75,535474.0625,841682.6875,1031997.938,649242,1194019.875,1396434.25,988958.25,503576.0625,974431.4375,1493062.125,616563,1928902.25,846821.6875,1431942.375,677327.5625,802109.375,818771.6875,495258.4063,3516905.25,1554693.375,608305.125,1284137.75,793411.5,1192436,1062091.375,391923.875,746941.3125,986367.5,754207.3125,696781.6875,547114.25,719665.25,6798453,312244.0313,1099214.25,1594549.375,1616069.75,868849.3125,983429.25,241133.8906,1200863.375,1021835.438,307319.5938,1382304.5,412447.3438,556388.3125,1143963,2768508.5,1823580,641668.875
C02043,15611048,8782056,7857123.5,11063167,7514900,6447205,6349112.5,19904992,6390751.5,8916451,6178433,7808660.5,7866280,5641377,8806993,7050749,9452063,8035091,5858565,6674342.5,15453215,9540983,8133791,3784382.5,6173518.5,5060368.5,7754345,48062220,8343385.5,9189238,3146082,4783570.5,7967119.5,6755963.5,12108559,11481720,7491381,6515835.5,5303142.5,4902983.5,7446388.5,26891132,6581674,9475868,4466009,11477324,11046322,2396643,6455112.5,3734666.25,5617356,4860121,6565560.5,3167776.75,5906039.5,2935409.75,4145382.25,5513172,4459047,4457156,3081071.75,3553781.25,2832593.75,1323357,4842514,2692985.75,2464109.5,7012636,4258721.5,5055683.5,2257585.75,2260853.5,4474448,3440944.5,3419279.25,5531196.5,4773769.5,5863051,25077192,3086058,5851860.5,5913770.5,3856101.5,4798033,6202167.5,2428233,5335611,7909028,4092612.75,5961244.5,4446266,2918209.5,4582554.5,16626050,4695476,6060868.5
C00081,1306096.125,482096.8438,696137.375,952947.125,524781.8125,315775.0938,1452378.5,738716.375,499866.1563,948049.125,468802.8438,1218863.5,389154.3125,590350.875,274736.875,1509324.625,1085274,1330854.625,1000316,947481.125,873937.3125,1573621.375,661213.625,983920.625,1773921,106310688,1047684.813,135782.0781,1595803.375,17571878,1465233.75,1336544.25,317380.9063,55414368,169560.5156,424147.625,2635966.75,817943,4356127.5,14057536,47861476,1047379.313,1155203.625,98561.1094,45939324,1970065.75,229885.6719,305565.0313,385599.8438,2770934.25,3694078.25,426813.5625,29215342,74219568,1339014,82833.4688,582141.375,646359.75,410554.9688,54977252,205132.7656,11414387,1778564.375,1473829,274168.9063,75005848,63040.1289,319441.5938,406308.8438,41118956,965057.375,223122.25,,38794036,489212.1875,100329.1016,1271560.75,94582.4063,1356911.875,66395296,780366.1875,90488600,573648.6875,634786.4375,62713148,268374.0625,38267224,71540320,953252.6875,56433460,147323.9063,69718472,27632312,64590648,63855284,491562.0313
C00407,49150592,38449724,53547848,44296564,68645576,49132880,58139944,70775016,97644960,106146120,55048916,81027272,59345548,77314448,75895248,44421400,59371192,63120384,48967948,63717928,73847576,74493168,64630672,96835304,44799360,52656364,51856980,90704568,72887488,110387632,98148600,88330112,78378120,62802580,49086624,31494108,123040448,92919080,79758968,66965416,63543568,103523752,36061696,80204208,109668016,71270712,72514824,47626816,51590788,64024472,37246688,31687454,34889572,26312476,62928236,34882224,39757744,56163232,49394288,46263460,52164640,33269170,37046600,27955982,34347552,37274568,44482124,24935268,66583228,49971380,29916766,46817544,45843988,51279880,56471088,23379622,26753554,21604830,77423600,19182124,70503088,34965132,45119260,55771340,45981788,39593316,24637272,39939852,41660308,30801020,34540232,37136600,17927314,34964512,41044552,19127340
C17662,3417647.25,594281.1875,742842.625,12690240,4248778,1692563,2793688,623840.9375,2825526,1236379.875,728499.9375,1868930.75,3555241.75,448529.2188,7223866.5,3860229.25,3277624.75,1511638,11133749,6803420.5,29680922,3225330.5,54418968,736020.5625,4170252,8333171,67421.2344,,1452350.25,72204.5391,950706.25,56016.5156,6421852,3764157.5,271300.875,223154.4531,2160625.75,498895.9688,4449366.5,3766417.5,1516195.25,57220.1406,2365289.5,4167767,1548849.125,369600.7188,869861.6875,1692563,728076.4375,100588.1953,9014833,3644596,489920.9063,,2475156.25,1296238.25,525650.9375,2024358.75,1063165.375,8664847,1012664.063,1481267.375,3616412.5,132681.2656,3689066.75,6930185,5092687.5,3102290.5,817191.6875,5454588.5,5885518.5,,1374154.125,627164.625,109098.2031,,4769514.5,2468574.25,13587778,246498.4688,13563782,286647.25,3872828.5,251996.5,469040.7188,105981.9375,5301811.5,390654.9063,37999.4531,275457.2188,3221980.5,3447990.75,2382024.75,1631331,590023.4375,92972.6094
C01111,618596.4375,378152.6563,332809.9375,385601.1875,461754.5313,449605.625,242170.7813,341785.625,467060.625,412096.75,415268.4063,415022.4375,277286.75,367484.1875,581878.9375,328231.0313,621389.0625,332650.375,407364.4688,737787.9375,384708.6563,468784.2188,437171.5938,293490.125,462376.125,682681.75,868392.5,111540624,680053.75,831242.25,854349.125,682883.875,538602.125,712609.5625,914029.25,2628614,453819.3125,585324.5,357988.5,520903.5625,552327.875,10331104,486579.75,328847.7188,552316.5625,1561960.25,2143751.75,396972.3125,741428.6875,651215.6875,321569,187945.9844,513814.5313,493609.4375,544282.0625,243069.5,242930.875,345357.375,409436.9375,488303.375,220330.0156,355529.7188,233795.0938,111641.8281,517233.2188,624794.6875,257946.1875,308321.125,359985.0313,369964.1563,215267.3281,389221.0313,429513.3125,589635,565554.125,346226.0625,958889.5,432890.3125,3471312.75,298299.2813,693182.25,640320.5625,204252.7344,799704.75,819921.25,491858,545049.875,424676.3125,599788,466139.6875,746604.3125,1184522.75,643110,5179444,802859.625,560053.9375
C00328,9092736,11138190,7383433,8916158,10410523,7821425,4321223.5,7529857.5,6790695.5,9074687,7874145,10808552,4436625.5,4406240.5,4601091,3998474.25,5522316,7330420,6472281.5,10049743,9664997,12447550,7392981.5,5150925,4954493.5,10355572,14427070,94090696,14457740,10292443,9331216,14337455,14228512,13612722,18546200,28792502,19295844,8150941,10032884,11049458,16780642,39833412,12889913,11445710,9099242,15478489,32324698,3831778.5,19077496,8678669,9155600,5489657,9891491,4961374,8485539,6344730,5126183.5,6852195.5,9433023,10097290,7044901.5,10578558,4860010,4107447,11399843,6839439.5,7647936,6531017.5,8743868,7153984,6485072.5,6796337,5553842.5,8957605,13575010,9307899,14967231,10400728,25617722,5238213,15331207,10116349,5559603,9560232,15837754,6287681.5,11953728,9204009,14716774,16817620,28811528,12424507,20541138,100698320,15900829,10677719
C00186,1024632000,1346972288,1159161344,1275083520,1387632256,650047744,778642368,765740928,856133056,798943552,1167969792,853184448,778224000,927630336,1063889088,376670880,1106419072,1083501952,941983296,1394157568,1360626432,1191623040,944089856,791693760,777684096,1418841984,997610496,977445632,1021380800,1890039040,794751552,540526336,1319746560,1159197056,915754880,433473312,2591614208,688312512,1394691584,1779820288,1308666624,698700608,1214948352,1151236352,1412733952,781700224,829414464,650657920,758937408,744839616,577085120,590489216,814266048,686593088,478250272,1034839168,599078848,659557952,596676032,740582080,484972960,673453952,367577664,368772288,762938240,795169856,770002560,467876288,527607264,749478592,365865440,429194336,637360448,716922688,489003296,429096768,424760384,380967584,612723840,593333376,872827456,887909696,404316416,607155968,1060729536,505637856,894211904,1140583424,484035680,1007637376,452530912,803874112,383226240,896653440,1020574848,646948224
C13838,459336.7813,479134.7813,380597.2188,608636.0625,903883.4375,1033918.938,751861.875,481187.6875,1345361.75,748785.4375,710761.8125,566309.0625,570948,737647.25,547751.25,587885.1875,429430.2188,914108.1875,3104474.25,1857121.375,1307871.5,638966.625,549885.375,496509.375,500632.6563,627888.75,1084112.125,737540.4375,648238.875,547467.5,4319162.5,545866.875,1960070.25,1346076.5,933479.4375,695058,974822.9375,569630,673594.5,1135691.25,747336.1875,743816.9375,707702.1875,2192396.75,1167076,784912.5625,893721.9375,2171343.75,918003.3125,457630.0625,803056.0625,551518.25,525757,710868.625,957986.125,858359.625,687923.625,626808.4375,464937.375,384161.2188,1075011,584853.5,647418.75,1333811.375,893697.75,1286303.375,1037016.313,647502.25,680436.625,768556.9375,649904.1875,569854.5625,651574.4375,384354.1563,1071426.875,900248.8125,1230928.625,1315313.5,869332.5,842374.5625,862065.75,412261.375,783395.125,634810.6875,903539.6875,675257.5625,567948.375,420820.3438,698222.9375,797475.625,740706.8125,1229694.75,551476.6875,1072340.875,450956.5938,377491.9063
C00123,139284496,135226656,148530624,119833496,181674656,129097016,144635744,184376816,223480240,237777504,147212256,185069696,152041440,170370064,180428624,115094728,174330880,168136288,169302656,169535696,165410336,172031472,160075136,215218880,121052360,158436816,190571264,192982912,191394624,169755088,192130784,255492784,225723216,176298736,137223440,89770112,222184000,224821008,233097776,209864064,163633152,277779552,107229984,200503968,292120928,192389936,187024272,123762512,165695520,168956128,102048896,87022184,102309312,71858688,182454816,98820160,97434320,159548656,130993664,127731680,127404992,97949344,90892072,79628712,105960064,110621168,127363648,86983552,175769072,133638808,77553040,136993232,112457392,114457304,146927008,85671920,95819744,63460084,234214912,66407208,233610016,96858624,116530632,169275296,136428272,100528728,77018736,120795688,146696816,94119488,115062936,101829160,46939624,106972048,112375088,64939112
C02165,350837.625,218568.2188,286735,216285.9531,680551.875,393820.9063,382469.2813,791951.4375,263396.7188,325278.25,533948.5625,365011.25,418983.75,409573.4063,584055.5625,174417.7031,286495.5,235486.2813,530141.8125,576065.625,385545.0938,420021.9688,403564.75,227372.4688,310778.3125,452361,270327.9375,242590.9375,279907.1875,839667.3125,264084.625,338968,,293501.4375,237846.8594,184775.3281,541305.375,342188.8438,266391.2188,351945.2188,185175.875,157995.7031,234492.7969,603994.4375,169888.7188,226168.4063,288589,243990.7031,255966.125,286735,241226.7344,306156.5938,294079.4688,165101.1875,219838.8438,179167.6719,185244.2188,345687.3125,388831.9688,213330.5781,187217.5938,157081.1094,186690.8281,312816.1875,286735,389196.0313,47788.2578,434521.9688,394140.375,289993.7188,135259.0625,375531.0625,484128.9063,298763.25,258429.5781,1948962.875,352506.9688,195688.6406,464465.25,277310.3438,199687.6875,207965.125,346790.9375,158483.4375,3677648.75,183719.0469,210958.2344,300599.375,,220074.5938,,283679.4063,129543.4688,291049.1563,180283.4844,204072.4219
C00047,385941216,440837248,342793408,323615488,504460480,315393024,265150752,491264768,427189184,453628032,336484896,312749760,329980352,449301408,477104032,287560160,409379840,489901632,520118368,404635872,357000512,396463456,386170784,619129600,422964224,384738816,343144000,381960096,455550304,501069952,396501664,545153152,332459840,415738080,288521568,363622080,467132992,368180096,522576384,442063936,450007488,349686976,341877888,476440864,542706560,422000896,428408736,243345184,333375392,480879648,182367968,233977792,236893776,187766944,375463584,241167712,185259008,292469440,385870496,270537824,333304480,328587168,204558032,251523520,268535776,261243536,363933216,344958496,269887008,275035872,195828736,205205680,257846736,297033984,286491488,237977568,186989248,125551704,371456864,123015176,522063968,198336560,279525376,507447872,265914544,190378128,244198688,338768384,350984896,233276592,226613808,245420048,94195984,240223888,234761472,184140240
C00149,12615969,17046482,10247486,9431286,9352326,7036373,6929101.5,10110266,14044114,9489552,13019779,11682775,9999049,10962087,12554820,9722009,10336647,13780342,10824186,13737915,14990173,14378477,10744830,12395869,7539011.5,21373660,26155404,29158764,16661833,21015862,13924648,10928160,15339388,20931150,13381414,8434455,55831732,10485888,24460340,28790776,25338032,10471303,11320363,13874877,20125184,9134620,11921822,11741077,10430816,9421129,6020931.5,6601947.5,11180037,5267103.5,8604192,12384844,5225607.5,11780366,8825896,7947633,6787206.5,8670682,7339366,7107517,15243832,10149129,12201781,6206406,11238706,7089711,6981591.5,6132640.5,7951871,7689989.5,10038457,7834830,8365718.5,5798055,11624389,5077251.5,11124486,11513632,10689758,9611627,11384258,10181679,10038768,13096314,7623443,9820118,7280237,10902975,6666134.5,39314288,11850061,6524859.5
