Identifier,HK1cnt,HK2cnt,HK3cnt,INF2cnt,INF3cnt,INF4cnt,M01cnt,M02cnt,M03cnt
group,HK,HK,HK,INFEC,INFEC,INFEC,UN,UN,UN
ENSMUSG00000000901,21,15,40,29,25,29,46,39,30
ENSMUSG00000000902,887,1031,1287,733,766,803,901,967,827
ENSMUSG00000000915,341,317,567,258,307,291,237,363,231
ENSMUSG00000000916,354,252,415,326,250,361,292,385,267
ENSMUSG00000000934,75,68,81,86,86,60,79,95,59
ENSMUSG00000000942,23,6,6,0,2,7,3,9,2
ENSMUSG00000000957,3346,3207,5065,2887,2546,2385,2219,2117,1579
ENSMUSG00000000958,1080,1055,1620,934,870,842,755,885,789
ENSMUSG00000000959,713,748,1046,770,770,754,987,1045,924
ENSMUSG00000000976,581,521,768,587,575,583,525,635,503
ENSMUSG00000000982,3906,3606,6489,3601,3803,3935,2677,3347,2465
ENSMUSG00000000983,18,12,16,12,18,15,16,19,12
ENSMUSG00000001014,5,6,13,1,8,2,1,10,4
ENSMUSG00000001016,498,466,700,439,366,403,485,563,541
ENSMUSG00000001017,1642,1491,2077,1545,1473,1404,1566,1902,1535
ENSMUSG00000001018,2852,2774,4125,2724,2913,2359,4123,4522,3780
ENSMUSG00000001020,492,417,621,474,430,664,338,396,380
ENSMUSG00000001025,4477,3965,6147,4253,3958,5412,3955,4659,3853
ENSMUSG00000001027,2,0,0,1,0,0,0,0,0
ENSMUSG00000001029,40,28,36,28,25,26,41,45,36
ENSMUSG00000001034,715,641,940,688,722,725,1011,1012,896
ENSMUSG00000001036,58,39,118,93,45,53,93,86,78
ENSMUSG00000001039,6,11,15,11,13,11,11,16,11
ENSMUSG00000001052,1307,1211,1613,921,997,1000,1260,1472,1214
ENSMUSG00000001053,252,259,362,238,251,255,330,376,362
ENSMUSG00000001054,855,897,1291,923,838,858,1450,1633,1369
ENSMUSG00000001056,1807,1755,2473,1929,1682,2004,1542,1577,1371
ENSMUSG00000001062,558,477,637,533,485,443,797,872,748
ENSMUSG00000001065,447,379,650,363,354,323,582,606,505
ENSMUSG00000001082,805,852,1350,676,765,751,959,1027,828
ENSMUSG00000001089,2321,1907,2498,1806,1769,1899,1983,2211,1788
ENSMUSG00000001095,11,5,17,12,6,11,14,8,5
ENSMUSG00000001098,2876,2725,4117,2257,2562,2077,3222,3653,3037
ENSMUSG00000001100,990,971,1480,1033,973,931,1288,1264,1183
ENSMUSG00000001105,547,461,697,571,471,600,534,603,469
