"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3682","353.0493","277.94","113954.77","89556.48","78361.77","69580.08","172285.75","71244.76","119979.55","75255.38","101989.22","95256.18","57965.31","210557.08","70220.2","73733.24","69058.93","47179.52","76151.3","89679.55","36779.23","56422.61","119023.62","negative","No Fragments","Phenolsulfonphthalein","C12600"
"3683","143.9157","1343.82","546144.44","481736.41","454591.88","491112.53","488457.56","508354.44","431156.63","450652.09","494105.22","473666.75","404794.56","370778.5","390348.47","427833.41","391624.44","373807.59","387841.81","366240.56","389381.91","415151.28","421319.81","negative","Annotate in FrAnK","",""
"3684","109.0407","77.3","498298.91","477869.56","460809","332616.38","405624.06","375587.19","525726.69","358426.31","460970.22","544881.88","NA","NA","6319.19","NA","NA","NA","20671.31","NA","NA","NA","NA","negative","No Fragments","3-Hydroxy-4-aminopyridine,Imidazole-4-acetaldehyde,Methoxypyrazine,N-Acetylimidazole","C02560,C05130,HMDB03905,HMDB33156,HMDB60741"
"3685","222.9151","2509.41","469791.03","468883.25","458669.31","451593.41","394956.94","541852.31","485498.91","463415.41","436554.34","481540.63","355691","232052.02","250420.25","215616.2","237336.44","246693.05","227940.22","227313.27","240524.94","375415.47","225277.95","negative","No Fragments","",""
"3686","288.8868","2518.39","307944.81","310591","292864.84","294754.34","227665.55","396756.75","287954.41","292536.41","252831.03","307027.38","204105.95","111513.63","123211.02","94566.22","111764.29","131223.31","110761.3","101280.62","113304.9","205305.23","136341.7","negative","No Fragments","",""
"3687","235.9047","2509.75","236103.34","224127.63","210947.63","204840.09","140662.22","302882.44","230106.63","217486.56","174865.47","224541.58","188231.53","75977.87","96518.29","66760.24","77858.52","88920.83","73860.99","81800.69","77385.14","200195.3","76632.33","negative","No Fragments","",""
"3688","394.851","2529.33","212262.09","240401.17","190717.16","206191.86","168730.52","258453.33","199236.69","185781.06","171898.31","192065.42","117955.1","97961.52","107389.77","81506.34","98114.95","113853.32","105081.91","96969.7","108507.59","128981.91","99647.48","negative","No Fragments","",""
"3689","262.9076","2506.68","195762.11","193048.75","204702.53","192741.19","160776.59","238166.45","194139.95","199041.72","180862.13","195911.66","146250.53","102579.45","101897.03","92853.54","108862.17","111168.41","100257.38","97396.53","106106.55","151319.11","102513.77","negative","No Fragments","",""
"3690","308.8828","2494.44","172502.44","168229.39","153932.27","152450.33","125987.6","232605.19","162673.22","155072.42","150918.53","161276.19","106628.7","62033.22","70036.97","46104.87","64870.54","76172.5","61164.97","59335.39","60533.82","112957.88","58609.71","negative","No Fragments","",""
"3691","285.8782","2507.65","125959.09","111612.33","123576.42","120671.55","60753.02","165550.48","110964.15","118632.72","89636.09","140006.69","101189.54","27860.19","31292.55","27970.31","25018.4","37068.62","26619.82","25209.14","27443.52","122889.24","28285.29","negative","No Fragments","",""
