"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1141","146.0812","535.6","537927.69","304764.94","551203","186773.22","132374.67","306537.44","182569.56","260246.98","391366.91","300233.91","445681.84","324922.31","541975.94","519287.69","939213.56","710232.38","1157353.75","803062.5","783790.31","472819","601308.06","585010","1362373.75","positive","No Fragments","(+/-)alpha-hydoxy butyric acid,(R)-3-Hydroxybutanoate,(R)-3-Hydroxybutyric acid,(R)-3-Hydroxyisobutyric acid,(S)-2-amino-6-oxohexanoate,(S)-3-Hydroxybutanoate,(S)-3-Hydroxybutyric acid,(S)-3-Hydroxyisobutyrate,(S)-3-Hydroxyisobutyric acid,(S)-5-Amino-3-oxohexanoate,(S)-5-Amino-3-oxohexanoic acid,2-Amino-5-oxohexanoate,2-Hydroxybutanoic acid,2-Hydroxybutyric acid,2-Keto-6-aminocaproate,2-Methyl-3-hydroxypropanoate,2S-Hydroxybutanoic acid,3-Hydroxy-2-methylpropanoate,3-Hydroxybutyric acid,3-oxo-5S-amino-hexanoic acid,3R-hydroxy-butanoic acid,3R-hydroxy-isobutyric acid,4-Acetamidobutanoate,4-Acetamidobutanoic acid,4-Hydroxyacid,4-Hydroxybutanoic acid,4-Hydroxybutyric acid,4-hydroxy-butyric acid,6-Amino-2-oxohexanoate,Allysine,Alpha-Hydroxyisobutyric acid,D(-)-beta-hydroxy butyric acid,Ethoxyacetic acid,Isobutyrylglycine,L-2-Aminoadipate 6-semialdehyde,L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,L-trans-5-Hydroxy-2-piperidinecarboxylic acid,Methyl aminolevulinate,Methyl methoxyacetate,N-(2-Carboxymethyl)-morpholine,N-Butyrylglycine,alpha-hydroxy-isobutyric acid","C00989,C01089,C01188,C01991,C02946,C03197,C03239,C03656,C04076,C05825,C05984,C06001,C14601,HMDB00008,HMDB00011,HMDB00023,HMDB00336,HMDB00357,HMDB00442,HMDB00710,HMDB00729,HMDB00730,HMDB00808,HMDB01263,HMDB03681,HMDB12131,HMDB12151,HMDB15127,HMDB29425,HMDB29426,HMDB31212,HMDB59595,HMDB59748,HMDB60265,HMDB61156,LMFA01050004,LMFA01050005,LMFA01050006,LMFA01050243,LMFA01050342,LMFA01050382,LMFA01050417,LMFA01060173"
"1142","257.1129","538.77","43437.63","33561.38","16747.76","NA","NA","23379.13","NA","17806.9","20832.01","NA","52865.72","NA","42912.38","45024.4","87468.27","56293.29","87501.94","86026.55","72538.7","55141.42","41371.85","48343.29","111998.16","positive","No Fragments","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide,1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ,Succinylproline","C11711,C15497,HMDB11648"
"1143","157.17","727.77","1279070.13","1042500.44","1115832.63","1294889.88","1359580.63","1013977.44","1151887.5","1027341.88","1018827.19","1173752.13","1056222.25","1355537.13","912952","863005.56","881234.44","884139.56","858689.81","853689.19","962946.44","940782.5","893440.5","848416.31","912939.13","positive","Annotate in FrAnK","2,4-dimethylpentan-3-amine,Isobutylpropylamine","HMDB31244,HMDB62667"
"1144","407.9525","747.18","81727.13","69121.06","80209.3","69583.49","70311.85","65400.64","88038.81","79702.72","60628.46","66234.83","71948.5","91227.7","35511.79","46894.98","39598.8","42618.82","35947.29","39751.92","45927.92","56875.45","62534.63","41050.36","35011.91","positive","No Fragments","",""
"1145","89.1073","1388.46","784288.88","844113.63","810163.5","842830.88","854776.69","778589.75","1359254.5","714437.88","737811.81","843048.5","796138.38","800721.19","297122.91","276343.81","315795.81","335545.69","324350.31","310584.53","305472.56","351215.59","328813.56","321817.31","300221.78","positive","No Fragments","1,2-Diethylhydrazine,Putrescine","C00134,C19227,HMDB01414"
"1146","230.1387","246.48","1004700","1345255.38","879332.56","1046404.56","NA","885910","1011429.75","711788.44","843579.38","882642.06","873837.44","451078.22","928206.06","1249468.13","840271.94","1043656.81","1000102.63","981653.38","1152907.63","913360.5","1280641.25","1023753.31","795454","positive","No Fragments","(+/-)-Ethyl 3-acetoxy-2-methylbutyrate,(+/-)-Methyl 5-acetoxyhexanoate,2,4-Dimethylpimelic acid,3-Methylsuberic acid,Azelaic acid,Butenylcarnitine,Butyl ethyl malonate,Diethyl glutarate,Diethyl methylsuccinate,Edrophonium,Eucommiol,Nonate,cis- and trans-Ethyl 2,4-dimethyl-1,3-dioxolane-2-acetate","C06976,C08261,C17878,HMDB00784,HMDB11717,HMDB13126,HMDB15145,HMDB32200,HMDB32258,HMDB32387,HMDB36233,HMDB59760,HMDB59783,HMDB59814,HMDB59879,LMFA01170054"
"1147","246.1699","252.29","847508.63","965098.81","1042607.75","543718.69","41914.4","671059.63","547709.75","551203.69","623325.69","493692.91","652356.81","219700.53","815789.81","881458.31","739778.75","863537.63","791844.31","915452","699837.13","786242.25","832040.19","946581.75","673861.75","positive","No Fragments","(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol,(1alpha,2alpha,4betaH,6alpha,8R)-p-Menthane-2,6,8,9-tetrol,(2xi,3xi,6E)-3,7-Dimethyl-6-octene-1,2,3,8-tetrol,(2xi,6xi)-7-Methyl-3-methylene-1,2,6,7-octanetetrol,2-Methylbutyroylcarnitine,3,7-Dimethyl-3-octene-1,2,6,7-tetrol,Isovalerylcarnitine,Pivaloylcarnitine,Valerylcarnitine","HMDB00378,HMDB00688,HMDB13128,HMDB33217,HMDB33642,HMDB35133,HMDB39053,HMDB39974,HMDB41993"
"1148","246.1699","252.35","847508.63","965098.81","1042607.75","543718.69","14583.02","671059.63","547709.75","551203.69","623325.69","493692.91","652356.81","219700.53","815789.81","881458.31","739778.75","863537.63","791844.31","915452","699837.13","786242.25","832040.19","946581.75","673861.75","positive","No Fragments","(1S,2S,4R,8R)-p-Menthane-1,2,8,9-tetrol,(1alpha,2alpha,4betaH,6alpha,8R)-p-Menthane-2,6,8,9-tetrol,(2xi,3xi,6E)-3,7-Dimethyl-6-octene-1,2,3,8-tetrol,(2xi,6xi)-7-Methyl-3-methylene-1,2,6,7-octanetetrol,2-Methylbutyroylcarnitine,3,7-Dimethyl-3-octene-1,2,6,7-tetrol,Isovalerylcarnitine,Pivaloylcarnitine,Valerylcarnitine","HMDB00378,HMDB00688,HMDB13128,HMDB33217,HMDB33642,HMDB35133,HMDB39053,HMDB39974,HMDB41993"
"1149","168.946","1966.68","1221453.88","1191493.88","1157573.63","1102332.38","1252635.13","1108011.75","1270943.75","1168171.13","1268685.38","1170603.38","1145533.25","1334324.38","620998.06","776313.75","587210.75","756413.94","665887.13","755866","756699.88","710535.69","749625.94","585834.06","640829.44","positive","Annotate in FrAnK","",""
"1150","296.9181","1959.29","397128","367709.81","381578.47","340843.53","390172.59","347249.38","384838.44","377984.44","383160.56","363772.09","361738.88","443471.63","160714.84","211919.73","143831.58","205883.58","210052.3","198266.28","224446.91","187504.41","212456.3","173812.63","161592.52","positive","No Fragments","",""
"1151","82.0525","20.11","1298277.5","1244258.13","1034513","1090928.88","1033193.25","1333395.88","1023370.63","1039744.06","1021526","1057150.25","1050048.25","1076648.5","388945.25","374125.34","381826.16","371064.22","407191.34","365811.09","366555.38","517431.56","359847.78","366457.56","368670.53","positive","No Fragments","",""
"1152","324.8455","10.96","967710.69","981612.56","658510.31","975992.13","604995.25","1051125.88","619687.44","680304.13","603032.63","619545.81","677944.81","612268.69","187785.3","160472.5","210235.94","202268.67","225748.97","141782.91","160259.2","360912","181166.92","199792.45","203806.22","positive","No Fragments","",""
"1153","97.0397","21.94","578656.31","671503","444431.44","560601.75","452050.94","698975.81","473110.09","445358.44","476254.94","459772.72","493091.03","500544.88","141258.38","135482.22","138836.48","144253.89","142072.69","138976.55","149782.55","258210.19","143203.69","131968.75","146848.39","positive","No Fragments","",""
"1154","82.0525","107.44","1298277.5","1244258.13","1099324.13","1133365.75","1076803.88","1333395.88","1095855.25","1102776.38","1065492.25","1159685.25","1050048.25","1088173.13","572041.88","393866.31","403753.94","380142.91","407191.34","365811.09","441850.19","623440.5","499575.41","392438.22","386677.78","positive","No Fragments","",""
"1155","132.0655","900.07","336334.97","296986.97","390965.94","151382.98","63554.78","369738.28","183725.39","398639.19","260598.84","319743.25","502733.94","287846.19","310037.34","295836.41","730307.38","372000.06","1320802.25","341686.88","371557.75","422807.56","337399.09","559549.75","1273172.88","positive","No Fragments","(R)-Lactate,(S)-4-Amino-5-oxopentanoate,(S)-Lactate,2-Amino-4-oxopentanoic acid,2-amino-4-oxo-pentanoic acid,2-oxo-5-amino-pentanoic acid,3-Hydroxy-L-proline,3-Hydroxypropanoate,4-Hydroxy-2-pyrrolidinecarboxylic acid,4-Hydroxy-L-proline,4-Hydroxyproline,5-Amino-2-oxopentanoic acid,5-Aminolevulinate,5-Aminolevulinic acid,5-amino-levulinic acid,D-Glyceraldehyde,D-Lactic acid,Dihydroxyacetone,Dimethyl carbonate,Glyceraldehyde,Glycerone,Hydroxyproline,Hydroxypropionic acid,L-Glutamate 5-semialdehyde,L-Glutamic gamma-semialdehyde,L-Glyceraldehyde,L-Lactic acid,Lactate,Methoxyacetic acid,Monoethyl carbonate,N-Acetyl-L-alanine,N-Acetyl-beta-alanine,Propionylglycine,Trans-3-hydroxy-L-proline,cis-3-Hydroxy-L-proline,cis-4-Hydroxy-D-proline,cis-4-Hydroxy-L-proline,trans-3-Hydroxy-L-proline,trans-4-Hydroxy-D-proline,trans-4-Hydroxy-L-proline","C00184,C00186,C00256,C00430,C00577,C01013,C01015,C01073,C01110,C01157,C01165,C01432,C02154,C02426,C03341,C03440,C03651,C03741,C05147,C19706,HMDB00190,HMDB00700,HMDB00725,HMDB00766,HMDB00783,HMDB01051,HMDB01149,HMDB01311,HMDB01882,HMDB02104,HMDB02113,HMDB06055,HMDB06272,HMDB29580,HMDB31232,HMDB36576,HMDB41929,HMDB59659,HMDB60460,HMDB61880,LMFA01060169,LMFA01060171,LMFA01100055,Std1_1_20170612_135637_24"
"1156","190.0896","258.72","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","386830.56","253735.86","1019870.5","655925.06","1098300.5","465272.13","459564.5","821778.25","1319414.38","953762.75","1256242.38","positive","No Fragments","2,4,6-Trimethyl-1,3,5-dioxathiane,3-(Methylthio)propyl acetate,3-Mercapto-3-methylbutyl formate,Ethyl 3-(methylthio)propanoate,Ethyl 3-mercaptobutyrate,Methyl 2-(methylthio)butyrate,Methyl 3-(methylthio)butanoate,Methyl 4-(methylthio)butyrate,Methylthiomethyl butyrate,Prenyl-L-cysteine,Propyl 2-mercaptopropionate,S-Prenyl-L-cysteine","C06751,HMDB12286,HMDB31717,HMDB32271,HMDB32410,HMDB32495,HMDB36193,HMDB37619,HMDB38299,HMDB39653,HMDB40413,HMDB41306"
"1157","224.0739","259.04","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","296821.78","215457.7","801954.69","507634.28","901674.69","358358.66","360439.47","657360.5","1187607.25","818201.19","1057041.13","positive","No Fragments","",""
"1158","494.324","259.83","112265.91","149643.31","172991.63","148664.13","NA","113047.14","78846.09","169062.89","214650.45","171086.47","213183.55","78474.68","367740.5","282971.97","428441.06","389050.59","394165.22","503087.19","327923.66","327988.94","369509.13","407266.63","484735.28","positive","No Fragments","(22E)-(24R)-1alpha,24,25-trihydroxy-22,23-didehydrovitamin D3 / (22E)-(24R)-1alpha,24,25-trihydroxy-22,23-didehydrocholecalciferol,(22E)-(24S)-1alpha,24,25-trihydroxy-22,23-didehydrovitamin D3 / (22E)-(24S)-1alpha,24,25-trihydroxy-22,23-didehydrocholecalciferol,(22E)-(25R)-1alpha,25,26-trihydroxy-22,23-didehydrovitamin D3 / (22E)-(25R)-1alpha,25,26-trihydroxy-22,23-didehydrocholecalciferol,(22E)-(25S)-1alpha,25,26-trihydroxy-22,23-didehydrovitamin D3 / (22E)-(25S)-1alpha,25,26-trihydroxy-22,23-didehydrocholecalciferol,(23S)-23,25-dihydroxy-24-oxovitamin D3 / (23S)-23,25-dihydroxy-24-oxocholecalciferol,(23S,25R)-25-hydroxyvitamin D3 26,23-lactol / (23S,25R)-25-hydroxycholecalciferol 26,23-lactol,(24R,25R)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3 / (24R,25R)-25,26-epoxy-1alpha,24-dihydroxycholecalciferol,(24R,25S)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3 / (24R,25S)-25,26-epoxy-1alpha,24-dihydroxycholecalciferol,(24S,25R)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3 / (24S,25R)-25,26-epoxy-1alpha,24-dihydroxycholecalciferol,(24S,25S)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3 / (24S,25S)-25,26-epoxy-1alpha,24-dihydroxycholecalciferol,(25R)-3beta-hydroxy-7-oxo-5-cholestenoic acid,1,25-Dihydroxy-23-oxo-vitamin D3,1-nonadecanoyl-glycero-3-phosphate,12beta,16beta,20R-trihydroxy-cholest-1,4-dien-3-one,1alpha,25-dihydroxy-18-oxovitamin D3 / 1alpha,25-dihydroxy-18-oxocholecalciferol,1alpha,25-dihydroxy-24-oxovitamin D3 / 1alpha,25-dihydroxy-24-oxocholecalciferol,2,22-Dideoxy-3-dehydroecdysone,24-Oxo-1alpha,25-dihydroxyvitamin D3,25-Hydroxyvitamin D3-26,23-lactol,3,7-Dioxo-5alpha-cholestan-26-oic acid,3beta,5alpha,9alpha-trihydroxycholesta-7,14-dien-6-one ,3beta-Hydroxy-5alpha,6alpha-epoxy-9-oxo-9,10-seco-5-cholest-7-en-11-al,5alpha,9alpha-epidioxy-8,14alpha-epoxy-cholest-6-en-3beta-ol ,7 alpha-Hydroxy-3-oxo-4-cholestenoate,7alpha-Hydroxy-3-oxo-4-cholestenoate,7alpha-hydroxy-3-oxocholest-4-en-27-oic acid,Australigenin,Barogenin,Cervonyl carnitine,Convallamarogenin,Cryptogenin,Epiruscogenin,Hecogenin,LysoPC(16:1(9Z)),MG(0:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0),MG(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0/0:0),Nuatigenin,PA(19:0/0:0),PC(16:1(9E)/0:0),PC(16:1(9Z)/0:0),PE(19:1(9Z)/0:0),Pennogenin,Prazerigenin A,Ruscogenin,Schidigeragenin C,Sisalagenin,Solagenin,Yuccagenin","C04715,C08891,C08902,C08909,C16498,C17337,C17891,HMDB06510,HMDB10383,HMDB11560,HMDB11590,HMDB12458,HMDB30066,HMDB34403,HMDB36249,HMDB60127,HMDB60128,HMDB62322,LMGP01050021,LMGP01050022,LMGP02050019,LMGP10050034,LMST01010120,LMST01010252,LMST01010261,LMST01010339,LMST01010341,LMST01080011,LMST01080014,LMST01080024,LMST01080025,LMST01080038,LMST01080041,LMST01080042,LMST01080044,LMST01080049,LMST01090001,LMST03020181,LMST03020182,LMST03020183,LMST03020184,LMST03020185,LMST03020186,LMST03020187,LMST03020188,LMST03020189,LMST03020190,LMST03020191,LMST03020192,LMST03020668,LMST04030133,LMST04030149,LMST04030215"
"1159","227.0702","258.61","NA","NA","NA","34030.96","NA","NA","64827.55","NA","NA","64025.6","NA","NA","368048.13","316676.16","289081.69","363447.75","275038.81","317110.44","280414.78","290801.13","429254.22","397454.13","266665.34","positive","No Fragments","2-Methoxyxanthone,4-Dihydroxyethyl-8,9-epoxy-enediyne,Dithranol,Flurecol,Oroselone","C06831,C11446,C18856,HMDB32998,HMDB33925"
"1160","193.1224","260.01","116569.67","157973.72","147889.25","89482.62","12428.71","97961.36","98272.37","99104.03","186649.05","80162.23","118363.54","38352.22","225450.34","258180.42","234189.52","229037.34","290166.38","259474.17","191225.81","240894.75","226991.66","284833.09","231640.83","positive","No Fragments","1-Ethoxy-2-methoxy-4-(1-propenyl)benzene,1-Phenylethyl butyrate,1-Phenylethyl isobutyrate,11,12,13-Trinor-1(10)-spirovetivene-2,7-dione,11,12,13-Trinor-1,3,5-bisabolatrien-10-oic acid,2-(2-Hydroxy-4-methylphenyl)-3-pentanone,2-Benzyl-4,5-dimethyl-1,3-dioxolane,2-Ethoxy-1-methoxy-4-(1-propenyl)benzene,2-Methyl-1-phenyl-2-propanyl acetate,2-Methylpropyl phenylacetate,2-Phenylethyl 2-methylpropanoate,2-Phenylethyl butanoate,2E,4E,8Z,10E-dodecatetraenoic acid,2E,6E,8E,10E-dodecatetraenoic acid,2E,6E,8Z,10E-dodecatetraenoic acid,3-Methylbutyl benzoate,3-Phenylpropyl propanoate,4-Methyl-2-(1-phenylethyl)-1,3-dioxolane, 9CI,4-Methylphenyl 3-methylbutanoate,4-Phenyl-2-butyl acetate,5,11-dodecadiynoic acid,5-Isopropyl-2-methylphenol acetate,Benzyl 3-methylbutanoate,Butyl phenylacetate,Ethyl 4-phenylbutanoate,Sedanonic acid lactone,Senkyunolide,Thymyl acetate","C09909,C17853,C17875,HMDB31571,HMDB31614,HMDB31618,HMDB32043,HMDB33380,HMDB35010,HMDB35014,HMDB35015,HMDB35447,HMDB36388,HMDB36734,HMDB37165,HMDB37709,HMDB37716,HMDB37717,HMDB37792,HMDB38180,HMDB39496,HMDB39643,HMDB39841,HMDB40427,LMFA01030240,LMFA01030241,LMFA01030242,LMFA01030464"
"1161","160.1332","811.39","731680.75","213010.2","1318498.5","99095.82","16700.56","112727.52","96301.63","156622.31","962398.94","144323.59","170723.41","103495.34","233537.08","228836.81","308596.38","276292.94","368732.72","276448.34","304616.19","249025.44","263354.56","279593.84","336003.97","positive","No Fragments","(±)-1,5-Hexanediol,1,1-Diethoxyethane,2-Butoxyethanol,3-amino-octanoic acid,4-Methyl-1,2-dihydroxypentane,DL-2-Aminooctanoic acid,DL-2-amino-octanoic acid,Pregabalin","C19355,HMDB00991,HMDB14375,HMDB31327,HMDB31490,HMDB31644,HMDB59740,LMFA01100020,LMFA01100056"
"1162","268.1807","449.49","1093137.38","1239222.13","1304183","1156813.25","1140438.38","1251372.75","1221156","1200087.75","1064848.13","1125778.25","1140403.25","1234466.5","639918.88","633933.13","599333.69","665484.63","743370.94","696109.13","625502.38","681827.31","652916.44","701645.19","630037.56","positive","No Fragments","4,4'-Methylene bis(2-methylaniline),6-Methylergoline,Auramine,Elaeocarpidine","C07540,C10590,C19193,C19260"
"1163","167.0928","441.82","373534.81","379903.44","460320.97","161594.22","16919.59","424056.47","114843.76","382003.09","348657.34","322962.53","379578.09","205140.03","404523.69","371123.59","864259.94","639522.81","1079528.25","684176.75","464289.75","523342.19","475387.69","520263.88","1292454.88","positive","No Fragments","2-O-Methylcytosine,3-Methylcytosine ,5-Methylcytosine,N-Formyl-4-amino-5-aminomethyl-2-methylpyrimidine","C02376,C19872,HMDB02894,HMDB04339,HMDB11601"
"1164","195.1228","422.28","1287818.75","988574.75","790989.25","882599.5","249432.92","875436.31","604746.63","762901.75","777388.88","724392.13","861483.5","941512","522931.31","562806.31","506736.69","557559.69","575021.5","567885.88","526455.44","1128378.88","679333.13","570655.31","566476.25","positive","Annotate in FrAnK","",""
"1165","250.0508","821.44","445176.28","420435.53","506602.94","349103.44","403662.84","280843.44","171048.73","363825.56","465476.31","411523.66","459738.19","393291.94","949841.13","925091.88","723108.94","603049.25","790552.88","1133927.38","803851.56","1191481.88","1286035.5","591242.69","670464.19","positive","No Fragments","",""
"1166","423.1912","227.12","586910.75","656341","674374","325441.88","NA","452016.63","465484.56","579247.5","337994.53","857941.25","398133.66","293978.63","569492.19","896085.19","604737.5","537953.63","654572.44","636681.56","1275488.13","698840.31","721610.06","613644.38","559261.63","positive","No Fragments","1-Hydroxycarvedilol,4'-Hydroxycarvedilol,4'-Hydroxyphenyl Carvedilol,5'-Hydroxycarvedilol,8-Hydroxycarvedilol","HMDB13946,HMDB13947,HMDB13948,HMDB13950,HMDB60773"
"1167","135.1016","308.46","168522.47","115882.62","154371.92","252334.72","69946.13","320013.31","240734.78","228150.86","186262.42","188984.69","226594.05","172437.8","1070586.13","842613.13","774940.56","804986.06","475750.03","826030.5","977256.81","966802.38","1259431","807744.38","910671.38","positive","No Fragments","1,2,6-Hexanetriol,Polypropylene glycol (m w 1,200-3,000)","C20334,HMDB32478"
"1168","155.1067","307.22","64264.71","84700.77","63634.28","101867.07","14347.92","101886.2","76090.5","107950.04","103773.4","55720.31","91336.19","42771.17","127686.51","125819.6","130476.16","145194.56","119959.15","110336.63","124600.38","109936.62","143880.92","134018.08","154177.8","positive","No Fragments","(2-Hydroxymethyl-cyclohexyl)-acetic acid lactone,(E)-2,6-Dimethyl-2,5-heptadienoic acid,2,4-Hexadienyl propionate,2,6-nonadienoic acid,2-Nonenoic acid gamma-lactone,2-nonen-4-olide,2-nonynoic acid,2E,6Z-nonadienoic acid,2Z,4E-nonadienoic acid,3,5,5-Trimethyl-1,2-cyclohexanedione,3E-Nonen-2,5-dione,3Z-Nonen-2,5-dione,4-Oxo-2-nonenal,4-nonynoic acid,4-oxo-nonenal,5,7-nonadienoic acid,5-nonynoic acid,6-nonynoic acid,7-nonynoic acid,8-nonynoic acid,Allyl hexenoate,Anapear,Boschnialactone,Enol-3,5,5-Trimethyl-1,2-cyclohexanedione,Methyl 2-octynoate,Octahydro-2H-1-benzopyran-2-one,xi-2,2,6-Trimethyl-1,4-cyclohexanedione","C09772,HMDB31302,HMDB32314,HMDB32442,HMDB35135,HMDB36177,HMDB36239,HMDB37276,HMDB38268,HMDB38697,HMDB40285,HMDB60285,LMFA01030447,LMFA01030448,LMFA01030449,LMFA01030450,LMFA01030504,LMFA01030505,LMFA01030506,LMFA01030507,LMFA01030508,LMFA01030509,LMFA06000254,LMFA07040018,LMFA07040020,LMFA12000242,LMFA12000243"
"1169","228.1958","2584.53","814578.88","784508.56","857200.69","810685.94","817801","733355.38","787217.25","787628.94","768736.38","801024.44","767297.31","821356.94","1146864.13","1045110.25","1123506.88","1095009.13","1250059.5","1002821","998428.13","1229454.63","1029396","1097031.38","1222572","positive","No Fragments","2-Hexyl-4,5-dimethyl-1,3-dioxolane,2-Hydroxyundecan-6-one,2-Methylbutyl hexanoate,2-methyl-decanoic acid,3,3-dimethyl-nonanoic acid,3,7-Dimethyl-6-octenyl formate,3-Methylbutyl hexanoate,3-methyl-decanoic acid,4,6-Dimethylnonanoic acid,4,8-dimethyl-nonanoic acid,4-Methyloctyl acetate,4-methyl-decanoic acid,5-methyl-decanoic acid,5R-methyl-decanoic acid,6,6-Dimethoxy-2,5,5-trimethyl-2-hexene,6-methyl-decanoic acid,7,7-Diethoxy-3-heptene,7-methyl-decanoic acid,8-methyl-decanoic acid,9-Methyldecanoic acid,9-methyl-decanoic acid,9:0(8Me,8Me),Butyl heptanoate,Ethyl nonanoate,Heptyl 2-methylpropanoate,Heptyl butanoate,Heptyl butyrate,Hexyl 2-methylbutanoate,Hexyl 3-methylbutanoate,Isobutyl enanthate,Isopropyl octanoate ,Methyl 3,7-dimethyl-6-octenoate,Methyl decanoate,Nonyl acetate,Octanal propyleneglycol acetal,Octyl propanoate,Pentyl hexanoate,Propyl octanoate,Undecanoic acid,Undecylic acid,decyl formate,ethyl 4-methyl-octanoate,formyl decanoate,valeryl hexanoate,xi-8-Methyldecanoic acid","C17715,HMDB00947,HMDB02373,HMDB32044,HMDB32325,HMDB32448,HMDB33618,HMDB33848,HMDB34134,HMDB34456,HMDB34458,HMDB34460,HMDB36034,HMDB36229,HMDB38237,HMDB38267,HMDB39215,HMDB40171,HMDB40193,HMDB40266,HMDB41559,HMDB59831,HMDB59860,LMFA01010011,LMFA01020090,LMFA01020155,LMFA01020182,LMFA01020183,LMFA01020184,LMFA01020185,LMFA01020186,LMFA01020187,LMFA01020188,LMFA01020261,LMFA01020288,LMFA01020346,LMFA07010196,LMFA07010200,LMFA07010408,LMFA07010437,LMFA07010454,LMFA07010521,LMFA07010529,LMFA07010571,LMFA07010595,LMFA07010606,LMFA07010653,LMFA12000158"
"1170","290.2687","2583.48","373383.16","393539.31","398402.31","386150.78","386848.63","356088.5","394741.06","387192.25","402075.13","397570","374830.25","408248.63","621857.44","665747","682258.63","583531","645698.38","734937.63","606091.63","652762.75","630954.63","581232.75","643558.06","positive","Annotate in FrAnK","",""
"1171","138.055","705.5","604394.63","301748.97","1233804.25","195631.5","21416.93","182856.47","151809.97","129785.92","1058893","138234.3","486029.41","80770.79","134304.13","70457.54","92635.57","220368.02","114457.04","67359.59","167478.48","96078.34","109781.98","76037.01","163172.31","positive","No Fragments","2-Aminobenzoic acid,2-Furancarboxaldehyde,2-Nitrotoluene,2-Pyridylacetic acid,3-Nitrotoluene,3-Pyridylacetic acid,4-Aminobenzoate,4-Nitrotoluene,Anthranilate,Furfural,Methyl nicotinate,N-Methylnicotinate,Protoanemonin,Salicylamide,Trigonelline,m-Aminobenzoic acid,p-Aminobenzoic acid","C00108,C00568,C01004,C07090,C14279,C14394,C19486,C19597,HMDB00875,HMDB01123,HMDB01392,HMDB01538,HMDB01891,HMDB15687,HMDB29806,HMDB32914,HMDB60503,HMDB60722,Std1_1_20170612_135637_10"
"1172","224.1128","718.22","146348.41","50947.13","231661.28","35188.75","NA","54241.12","44777.09","41598.52","189082.55","18779.97","21252.57","NA","94417.3","69615.63","91159.38","85887.38","107293.45","96522.74","88878.98","76636.35","100276.94","82245.53","76854.71","positive","No Fragments","3-Dehydrocarnitine,D-Iditol,D-Sorbitol,Galactitol,L-Glucitol,L-Iditol,Mannitol,Sorbitol","C00392,C00794,C01489,C01507,C01697,C01722,C02636,HMDB00107,HMDB00247,HMDB00765,HMDB11632"
"1173","168.946","1185.56","1091007.63","973084.94","1046846.31","980442.19","1100340","954737.31","1004563.69","967230.38","868363.19","1007903.5","1022813.31","1231030","569054.69","768368.38","541378.38","742017.44","662730.88","747189","821251.38","729760.69","805259","551132.75","596962.69","positive","Annotate in FrAnK","",""
"1174","274.9359","1160.02","161438.08","111281.38","112491.65","104796.7","111209.05","116621.1","118178.48","102671.02","91453.17","113608.39","129837.57","145200.47","25629.58","46482.39","31885.92","41337.39","36622.27","38575.82","55026.5","42468.33","52403.94","29913.54","32129.48","positive","No Fragments","",""
"1175","168.946","1161.39","1091007.63","973084.94","1026147.19","980442.19","1038486.56","954737.31","973473.25","967230.38","821733.44","1007903.5","1022813.31","1231030","552311.88","763033.31","529206.75","742017.44","648536.75","747189","814750.13","729760.69","781914.38","542576.31","563108.5","positive","Annotate in FrAnK","",""
"1176","98.9841","946.61","133444.73","201483.06","109220.78","375124.59","50729.05","272699.53","399269.09","331544.69","420684.06","150435.44","358623.44","112687.42","937646.38","841623.56","531541.81","1215699.38","589372.63","786636.69","579378.31","707736.56","1137432.75","1223511.75","799996.88","positive","Annotate in FrAnK","Acetate,Acetic acid,Glycolaldehyde,Orthophosphate,Phosphoric acid","C00009,C00033,C00266,HMDB00042,HMDB02142,HMDB03344,LMFA01010002,Std3_1_20170612_140021_18"
