"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3187","211.0614","433.86","244391.63","275859.13","361405.69","347805.44","33220.09","222974.88","376784.5","452961.94","482059.63","468948.56","388943.19","211045.7","263344.13","321072","239484.77","328865.66","368913.56","349596.94","355339.81","211862.11","333540.81","385760.03","319415.75","negative","No Fragments","2,3-Dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-1-propanone,3,4-Dihydroxyphenyllactic acid methyl ester,3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid,3-Hydroxy-4-methoxyphenyllactic acid,Danielone,Eudesmic acid,Propyl gallate,Valtrate,Vanillactic acid,beta-(2-Methoxyphenoxy)-lactic acid,n-Propyl gallate","C10674,C11155,HMDB00913,HMDB31704,HMDB33835,HMDB33839,HMDB34493,HMDB41286,HMDB41661,HMDB41663,HMDB41665,HMDB60557"
"3188","278.7974","436.32","126499.81","149543.63","170697.48","97445.46","31371.31","103362.98","114486.95","117865.22","204905.03","100399.13","127117.54","59607.81","98432.64","119694.79","97936.12","98035.23","116037.1","96713.81","108143.98","105685.23","130537.5","92713.85","91412.59","negative","No Fragments","",""
"3189","172.958","1580.17","838094.38","802269.31","811639.63","805660.06","825466.56","748264.75","774429.63","767153.56","760897.06","824004.75","841358.94","897529.81","1344879.63","1522064.75","1316607.13","1626509.38","1498101.38","1688416.13","1425862.88","1514648.25","1629593.75","1316275.5","1559884.75","negative","No Fragments","",""
"3190","169.834","779.35","1340728.38","967175.94","1282158.63","979426.88","643177.94","1636445.75","1161028.13","1387297.5","1676083.75","994227.25","1287247.88","1457921.25","1492043.63","1310198.25","1239849.38","1328185.5","1431624.25","1011196.31","504788.19","1579006.5","410256.47","1538626.75","1346175.5","negative","Annotate in FrAnK","",""
"3191","171.8316","780.54","740588.38","508299.41","465735.84","522969.09","NA","881355.88","591427","740133.88","949333.81","549801.06","643804.19","727308.44","775524.13","649496.81","662048.56","634121.5","684011.75","522836.69","269998.69","728063.19","215692.16","807170.13","687367.31","negative","No Fragments","",""
"3192","173.8288","779.26","188441.05","131309.81","92775.03","126411.33","117409.9","218580.92","180528.98","209425.56","236259.11","157137.94","167076.84","207361.84","193119.38","184157.5","175709.34","150799.16","184700.67","148881.61","85965.12","215692.14","70148.47","197613.94","176573.53","negative","Annotate in FrAnK","",""
"3193","125.9001","2547.19","1487288","1445213.25","1500815.25","1548599","1484670.88","1558756","1672245.38","1651339.63","1324872.25","1638299.13","1617725.5","1512336.5","1001944.63","1002627.81","1141840.13","1078618.25","1162301.75","1039314.06","974655.31","1034893.19","844141.31","1082131","1084762.38","negative","No Fragments","",""
"3194","235.9537","2547.76","1255843.75","1220694.63","1317658.13","1380728.13","1286234.25","1312127.38","1130290.25","1342711.13","1267887.25","1256107.13","1336579.5","1314805.63","673642.94","664146","773513.19","863679.63","814193.5","841235.56","730550.63","691072.56","712169.94","710164.56","646989.69","negative","Annotate in FrAnK","",""
"3195","132.8679","2548.78","421289.97","374180.88","429023.09","443265.41","425604.03","412611.38","452127.5","398566.53","444926.13","479928.63","421405.22","379843.91","244981.02","253129.17","243590.16","253306.2","277905","237576.55","219649.09","253883.11","183213.64","262026.11","253101.19","negative","No Fragments","",""
"3196","248.9734","2563.91","286659.78","294632.41","272685.13","289952.91","276851.5","313609.53","307932.34","324065.84","290385.66","276861.5","268447.66","284723.94","100291.2","94394.29","93823.32","117985.25","109648.77","107452.21","115879.45","114961.11","118540.22","108503.24","102605.63","negative","No Fragments","3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid","HMDB33822"
