"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000001768",4874.17881871395,0.680420759941373,0.124798430042559,5.45215800959463,4.97622089046906e-08,1.07046612178695e-06
"ENSMUSG00000001774",448.90646752624,-0.182140685157781,0.186753771074342,-0.975298566181429,0.329412181509775,0.538044504645169
"ENSMUSG00000001783",3404.05635034961,0.33776312322496,0.0811876884104509,4.16027515794478,3.17864407807151e-05,0.00035002925859716
"ENSMUSG00000001785",881.36582041468,0.0180322670673707,0.100066822879571,0.180202254338306,0.856993788698779,0.94435608551808
"ENSMUSG00000001786",533.022072929774,0.154583290215824,0.138819021137015,1.11355986340841,0.26546805324292,0.490733260665297
"ENSMUSG00000001794",3809.06316675587,-0.190806402987467,0.087532602881276,-2.17983239052385,0.0292698880119683,0.102945423616238
"ENSMUSG00000001802",0.111317836498763,-0.983218705028775,4.08045587181216,-0.2409580536873,0.809587627044012,NA
"ENSMUSG00000001827",10.707091845908,0.117783586876097,0.680894987903016,0.172983483457326,0.862664410197157,0.94435608551808
"ENSMUSG00000001829",469.853535199517,0.0147117026904453,0.141456314772898,0.104001738728061,0.917167968749428,0.96140987166913
"ENSMUSG00000001833",4194.86181212957,-0.276544479476023,0.163747391756085,-1.68884814903164,0.0912485339642308,0.228121334910577
"ENSMUSG00000001844",1279.44700058534,0.151453533354675,0.0874201074170182,1.73247937836772,0.0831882456141016,0.216758104769138
"ENSMUSG00000001847",15851.590952994,-0.0179239193043455,0.0752717650199435,-0.238122744957508,0.811785894127856,0.927101227120018
"ENSMUSG00000001855",1287.49861739995,0.0173130388735759,0.109574641500992,0.158002240631735,0.874455033126527,0.94700239352686
"ENSMUSG00000001865",2.06397571162671,0.0466898831634207,1.66471753977545,0.0280467298793034,0.977624880735948,0.992024524514367
"ENSMUSG00000001870",7.81168353557601,2.06356000093596,0.862676317852273,2.39204433717784,0.0167548182325707,0.0701276328738817
"ENSMUSG00000001891",2228.34752079135,-0.169728755780101,0.127950549547516,-1.32651838058006,0.184668050968787,0.381290060594036
"ENSMUSG00000001901",0.239807626350932,-0.983226712110677,4.08045587181216,-0.24096001598812,0.80958610615401,NA
"ENSMUSG00000001909",503.650986709966,0.00695442061261497,0.115410673770755,0.0602580366737033,0.951950123063818,0.978019668995234
"ENSMUSG00000001910",557.679675887955,-0.207845740892801,0.131112491574902,-1.58524743444497,0.112910127019693,0.266022725632218
"ENSMUSG00000001911",273.11040393392,0.0996198407321635,0.163360074538076,0.609817551894811,0.541982673272614,0.73896214253341
"ENSMUSG00000001918",909.852790904524,-0.11858167962761,0.0915730800893465,-1.29494038544855,0.195340795384175,0.396250516952548
"ENSMUSG00000001924",3849.02639127584,-0.159879040147076,0.0637151425302418,-2.50927854506785,0.0120978045740979,0.0562335137238219
"ENSMUSG00000001930",421.948888808248,0.218383408633645,0.151026932460625,1.4459898315857,0.148180053883331,0.322509529040191
"ENSMUSG00000001942",1075.70163187197,0.224312249360909,0.126324320178587,1.7756853869769,0.0757847872919701,0.205574569633643
"ENSMUSG00000001943",0.221507811509868,-0.0214380255332557,4.08045587181216,-0.00525383099504882,0.99580806864879,NA
"ENSMUSG00000001946",1.74734119787015,-2.54262520536923,2.79820920095969,-0.908661584165042,0.363528788096397,0.573829571653869
"ENSMUSG00000001948",25.1464257073687,-0.253212596206496,0.430920767881872,-0.587608245133151,0.556795275486169,0.748351382165199
"ENSMUSG00000001962",1102.71873983291,0.107967632074512,0.104177714931543,1.03637934605745,0.300025202108652,0.518735162524305
"ENSMUSG00000001964",308.956540556025,-0.133197909983456,0.526939344618651,-0.252776550742956,0.800440889153979,0.926386144803048
"ENSMUSG00000001983",55.9063402281639,0.0504294870428039,0.34212166287463,0.147402203704604,0.882814566218614,0.949309836289877
"ENSMUSG00000001986",4.35249136955869,1.06271993623781,1.15613873671786,0.91919758631628,0.357992233403906,0.569953211529455
"ENSMUSG00000001988",11.3616351570195,0.664698437195271,0.596878621905313,1.11362413194406,0.265440469260601,0.490733260665297
"ENSMUSG00000001995",671.684928279489,0.464115750075296,0.190617012737245,2.43480759356487,0.0148997100907286,0.0644029524949719
"ENSMUSG00000001998",218.915841258591,-0.000836681541304841,0.160744430302814,-0.00520504218857649,0.995846995951935,0.995846995951935
"ENSMUSG00000001999",3192.23993497782,0.0615140974462622,0.0846445565508513,0.726734239659072,0.467388774178152,0.67657999391986
"ENSMUSG00000002006",2.36546591641875,1.24764446796109,1.40697385419876,0.886757393705516,0.375209530846093,0.589250961006173
"ENSMUSG00000002007",9.15038289239509,-0.807171093417789,0.972241318197086,-0.830216817893112,0.406416208242706,0.617298838463881
"ENSMUSG00000002010",2530.77766444714,0.280422879042859,0.0816706186886604,3.43358338096922,0.000595658966798341,0.00455359127511128
"ENSMUSG00000002012",0.835243858422493,-0.983240914696674,3.35341595542564,-0.293205772193529,0.769364872315256,0.905003711589376
"ENSMUSG00000002014",2831.36839745109,-0.0925305700247581,0.104905654078783,-0.882036062186589,0.377757306077553,0.590331530137752
"ENSMUSG00000002015",5266.26210741928,-0.0106818782238703,0.0686567727385315,-0.155583750849323,0.876361133901613,0.94700239352686
"ENSMUSG00000002017",230.533598614309,-0.25497967367253,0.160359707064596,-1.59004826299551,0.111823926571113,0.266022725632218
"ENSMUSG00000002020",11.1713911836384,-0.309432688919067,0.746074804483056,-0.414747538798698,0.678326727508223,0.857175167957796
"ENSMUSG00000002028",765.867331648408,0.0224088988350673,0.129884106830589,0.172529952908679,0.863020915397314,0.94435608551808
"ENSMUSG00000002031",349.932176206182,0.338680580793821,0.135802223496957,2.49392515139055,0.0126339182398607,0.0572861488817211
"ENSMUSG00000002032",26.8150228211271,0.278927092809951,0.489360979869779,0.569982291771965,0.568689708734605,0.758922631531382
"ENSMUSG00000002033",0.194728133526816,-0.021438025533256,4.08045587181216,-0.00525383099504889,0.99580806864879,NA
"ENSMUSG00000002043",779.016184667127,-0.0657715744210643,0.147662091412132,-0.445419496582186,0.656016625215341,0.835833854441034
"ENSMUSG00000002052",965.664233362926,-0.270018296386239,0.1253974845335,-2.15329914623689,0.0312951758527035,0.108419616718168
"ENSMUSG00000002055",21.2931335828935,0.0139440445499235,0.577660565047428,0.0241388202581885,0.980741878247038,0.992024524514367
"ENSMUSG00000002058",359.879437911691,0.129062109371309,0.157935855351186,0.817180551460762,0.413825255146378,0.624450833622185
"ENSMUSG00000002059",378.542517008151,0.0139177740248876,0.142756221174653,0.0974932924839755,0.92233466067919,0.96140987166913
"ENSMUSG00000002064",1194.53011620563,-0.0935213615552576,0.0882259386886294,-1.06002115642336,0.289134974548049,0.511156683891653
"ENSMUSG00000002068",50.8984754721026,-0.561420380886342,0.321348245852188,-1.74707778285051,0.0806238466460697,0.212470251132805
"ENSMUSG00000002076",12.5083163890801,-1.23742074096127,0.789422275981022,-1.56750167636644,0.116997474688182,0.2705317127723
"ENSMUSG00000002083",412.531193222669,0.33539429317015,0.140075879168134,2.39437578519549,0.0166486815905214,0.0700001385056012
"ENSMUSG00000002100",20.1148879068826,-1.62699873548825,0.494603737083791,-3.2894994790802,0.00100365742342887,0.00677651909979345
"ENSMUSG00000002102",3475.94422362263,-0.218978396072357,0.0883773515367423,-2.47776599167851,0.0132207823110237,0.059078375061338
"ENSMUSG00000002103",6713.4727162283,-0.426281025609764,0.0828542328377547,-5.14495169419416,2.67589657629463e-07,5.26639219802666e-06
"ENSMUSG00000002104",217.796095013089,0.736115927314242,0.173027766482736,4.25432254185452,2.0968287380195e-05,0.000236532510081468
"ENSMUSG00000002105",595.804209981309,-0.449161666848949,0.113965644642692,-3.94120235319312,8.10741942911494e-05,0.000797804571482055
"ENSMUSG00000002107",3065.886568167,0.231109727868122,0.0959089714781422,2.40967788837974,0.015966610234119,0.0683755299377782
"ENSMUSG00000002108",263.013427943028,-1.21587768119176,0.175773186368525,-6.91731034927337,4.60298976454148e-12,1.63760212776957e-10
"ENSMUSG00000002109",1677.79516794995,-0.417753283990171,0.0866701668405881,-4.82003553493259,1.43532652797888e-06,2.17651973504994e-05
"ENSMUSG00000002111",13071.9774483189,-0.561451658398906,0.078392979459497,-7.16201453586783,7.94999896166054e-13,3.06406209980667e-11
"ENSMUSG00000002129",796.118236673031,0.0699446102190775,0.0899774110238548,0.777357443642536,0.436947912742201,0.643593661284292
"ENSMUSG00000002147",4766.18071461905,-0.13168592677008,0.0747728962627806,-1.76114519233394,0.0782138316868426,0.209703751624143
